 ,Area,Mean,Min,Max
1,21,0.000,0,0
2,45,0.000,0,0
3,30,0.000,0,0
4,51,0.000,0,0
5,37,0.000,0,0
6,22,0.000,0,0
7,22,0.000,0,0
8,40,0.000,0,0
9,53,4.811,0,255
10,22,0.000,0,0
11,45,0.000,0,0
12,20,0.000,0,0
13,34,0.000,0,0
14,23,0.000,0,0
15,29,0.000,0,0
16,37,0.000,0,0
17,41,0.000,0,0
18,28,0.000,0,0
19,99,0.000,0,0
20,25,0.000,0,0
21,111,0.000,0,0
22,23,0.000,0,0
23,126,0.000,0,0
24,231,1.104,0,255
25,29,0.000,0,0
26,23,0.000,0,0
27,32,0.000,0,0
28,49,0.000,0,0
29,32,0.000,0,0
30,22,0.000,0,0
31,30,0.000,0,0
32,22,0.000,0,0
33,94,0.000,0,0
34,128,0.000,0,0
35,30,0.000,0,0
36,27,0.000,0,0
37,192,0.000,0,0
38,87,0.000,0,0
39,25,0.000,0,0
40,24,0.000,0,0
41,23,0.000,0,0
42,25,0.000,0,0
43,53,0.000,0,0
44,89,5.730,0,255
45,21,0.000,0,0
46,22,0.000,0,0
47,43,0.000,0,0
48,61,0.000,0,0
49,22,0.000,0,0
50,21,0.000,0,0
51,98,0.000,0,0
52,68,0.000,0,0
53,26,0.000,0,0
54,58,0.000,0,0
55,21,0.000,0,0
56,79,3.228,0,255
57,20,0.000,0,0
58,33,0.000,0,0
59,28,0.000,0,0
60,26,0.000,0,0
61,49,0.000,0,0
62,47,0.000,0,0
63,34,0.000,0,0
64,146,0.000,0,0
65,93,0.000,0,0
66,57,0.000,0,0
67,28,0.000,0,0
68,156,4.904,0,255
69,34,0.000,0,0
70,22,0.000,0,0
71,165,0.000,0,0
72,31,0.000,0,0
73,89,2.865,0,255
74,39,0.000,0,0
75,24,0.000,0,0
76,20,0.000,0,0
77,23,0.000,0,0
78,26,9.808,0,255
79,46,0.000,0,0
80,31,0.000,0,0
81,46,0.000,0,0
82,217,0.000,0,0
83,23,11.087,0,255
84,56,9.107,0,255
85,151,0.000,0,0
86,38,0.000,0,0
87,29,0.000,0,0
88,112,0.000,0,0
89,32,0.000,0,0
90,77,0.000,0,0
91,31,0.000,0,0
92,318,0.000,0,0
93,22,0.000,0,0
94,191,0.000,0,0
95,105,4.857,0,255
96,96,2.656,0,255
97,45,5.667,0,255
98,36,0.000,0,0
99,99,28.333,0,255
100,375,0.000,0,0
101,25,0.000,0,0
102,38,0.000,0,0
103,60,0.000,0,0
104,26,9.808,0,255
105,78,0.000,0,0
106,24,0.000,0,0
