Time[s],Y
0,31843672.5885394
1,31843670.707851585
2,31843673.52241987
3,31843674.358985927
4,31843674.969828866
5,31843674.73618371
6,31843667.758369792
7,31843664.82780583
8,31843664.655518673
9,31843661.387018014
10,31843661.36892729
11,31843669.14243462
12,31843671.757304877
13,31843669.175943695
14,31843667.68163152
15,31843670.644647297
16,31843667.659637306
17,31843664.723079342
18,31843667.784682695
19,31843670.42285338
20,31843668.17756076
21,31843666.263521943
22,31843667.96341802
23,31843668.46903886
24,31843670.613394536
25,31843668.329376798
26,31843664.62490899
27,31843664.744186923
28,31843664.73915938
29,31843658.440811116
30,31843635.09082304
31,31843509.620872844
32,31843447.75127969
33,31843428.925989576
34,31843419.7525367
35,31843414.87776004
36,31843411.462981254
37,31843409.151278537
38,31843407.642094836
39,31843404.435942646
40,31843403.26019423
41,31843401.819514543
42,31843401.783248533
43,31843400.337914024
44,31843399.981453083
45,31843397.413938705
46,31843396.09259951
47,31843395.332374785
48,31843395.22166358
49,31843396.104151886
50,31843394.788772307
51,31843393.155305333
52,31843393.140214477
53,31843394.183136858
54,31843393.148188602
55,31843391.61332854
56,31843391.744761866
57,31843392.649453007
58,31843391.65857188
59,31843390.20888321
60,31843398.83975849
61,31843536.98567453
62,31843611.60213167
63,31843627.34467199
64,31843638.152208056
65,31843641.374204893
66,31843644.666652415
67,31843651.19621927
68,31843649.113975197
69,31843639.75654862
70,31843637.887366395
71,31843640.44672663
72,31843644.244015485
73,31843647.652620643
74,31843649.346567634
75,31843654.207080685
76,31843655.78986396
77,31843648.568639014
78,31843643.63831433
79,31843647.29087833
80,31843653.538836442
81,31843658.455730896
82,31843656.80806513
83,31843654.483861204
84,31843656.537865616
85,31843660.107413422
86,31843662.05203775
87,31843663.608560365
88,31843663.39122975
89,31843664.709623434
90,31843626.943634212
