Time[s],Y
0,31830200.61792413
1,31830175.148915187
2,31830186.66721399
3,31830187.875059865
4,31830192.436077777
5,31830186.739294976
6,31830157.551227514
7,31830138.831810642
8,31830142.30678012
9,31830117.773451
10,31830132.530591242
11,31830167.79947477
12,31830173.975664347
13,31830167.82747666
14,31830167.764294904
15,31830166.81881092
16,31830149.79949931
17,31830138.702061016
18,31830161.31836682
19,31830173.060174692
20,31830160.995935213
21,31830157.392857116
22,31830160.48815364
23,31830164.779080357
24,31830175.64503582
25,31830159.587954827
26,31830143.029283747
27,31830139.658886507
28,31830143.017364945
29,31830101.508127335
30,31829938.59158648
31,31829299.161669105
32,31829048.75821276
33,31828970.95701313
34,31828940.462292157
35,31828919.238810837
36,31828903.066777404
37,31828893.779924158
38,31828884.66323906
39,31828877.87448113
40,31828874.220155884
41,31828869.881712604
42,31828862.61644028
43,31828860.54807289
44,31828851.019347634
45,31828849.36719328
46,31828842.653680257
47,31828845.26460727
48,31828842.290237762
49,31828842.40660234
50,31828834.988258354
51,31828835.25151889
52,31828835.217846557
53,31828828.682483405
54,31828831.711604536
55,31828835.317656163
56,31828828.143397436
57,31828828.20578
58,31828828.02380702
59,31828828.79522639
60,31828923.9648839
61,31829715.791605704
62,31829936.716386028
63,31829999.280695867
64,31830044.1835912
65,31830056.458644025
66,31830077.516394872
67,31830109.54400436
68,31830081.601876285
69,31830042.67559845
70,31830040.97432313
71,31830053.51966397
72,31830068.8099688
73,31830083.48278267
74,31830093.74075777
75,31830117.858236108
76,31830118.176120266
77,31830080.243094616
78,31830061.733645674
79,31830094.09157847
80,31830119.598358944
81,31830137.3900924
82,31830122.35896625
83,31830114.25384546
84,31830128.320959833
85,31830152.410779424
86,31830165.153132293
87,31830168.009176143
88,31830160.721542705
89,31830168.04486319
90,31829866.134749055
