"ITO_unprocesesd_2nd_1.spc - RawData"
"”g’· (nm)","T%"
745.00,83.436
746.00,83.398
747.00,83.361
748.00,83.328
749.00,83.301
750.00,83.280
751.00,83.172
752.00,83.094
753.00,82.994
754.00,83.022
755.00,83.026
756.00,83.042
757.00,83.018
758.00,83.008
759.00,82.878
760.00,82.799
761.00,82.709
762.00,82.761
763.00,82.771
764.00,82.823
765.00,82.868
766.00,82.919
767.00,82.869
768.00,82.782
769.00,82.717
770.00,82.707
771.00,82.750
772.00,82.791
773.00,82.871
774.00,82.782
775.00,82.713
776.00,82.603
777.00,82.638
778.00,82.659
779.00,82.679
780.00,82.554
781.00,82.433
782.00,82.329
783.00,82.381
784.00,82.424
785.00,82.497
786.00,82.562
787.00,82.487
788.00,82.392
789.00,82.270
790.00,82.259
791.00,82.244
792.00,82.267
793.00,82.224
794.00,82.145
795.00,82.043
796.00,82.021
797.00,82.030
798.00,81.999
799.00,81.877
800.00,81.750
