"ITO_unprocesesd_4.spc - RawData"
"”g’· (nm)","T%"
745.00,84.465
746.00,84.433
747.00,84.418
748.00,84.379
749.00,84.378
750.00,84.371
751.00,84.318
752.00,84.243
753.00,84.152
754.00,84.169
755.00,84.167
756.00,84.173
757.00,84.148
758.00,84.141
759.00,84.065
760.00,84.012
761.00,83.932
762.00,83.973
763.00,83.979
764.00,84.015
765.00,84.011
766.00,84.050
767.00,84.010
768.00,83.969
769.00,83.916
770.00,83.915
771.00,83.936
772.00,83.960
773.00,84.001
774.00,83.927
775.00,83.850
776.00,83.778
777.00,83.790
778.00,83.806
779.00,83.813
780.00,83.721
781.00,83.657
782.00,83.592
783.00,83.634
784.00,83.648
785.00,83.657
786.00,83.683
787.00,83.632
788.00,83.599
789.00,83.533
790.00,83.520
791.00,83.492
792.00,83.474
793.00,83.414
794.00,83.358
795.00,83.318
796.00,83.308
797.00,83.281
798.00,83.196
799.00,83.091
800.00,83.012
