Time[s],Y
0,31838467.605104018
1,31838546.850697752
2,31838538.833495952
3,31838559.46286616
4,31838558.450808134
5,31838550.07902229
6,31838567.9059739
7,31838563.48644115
8,31838551.75523279
9,31838496.32182769
10,31838467.95590836
11,31838506.105035875
12,31838551.596848216
13,31838548.855090342
14,31838558.970846184
15,31838569.38306411
16,31838575.494216703
17,31838571.2308496
18,31838569.829261925
19,31838559.74461505
20,31838548.38745701
21,31838569.55861306
22,31838564.231895037
23,31838563.804317012
24,31838548.02055
25,31838535.11473826
26,31838546.99455401
27,31838546.473530486
28,31838558.64637004
29,31838552.140771266
30,31838211.932685383
31,31836961.066418633
32,31836604.163579535
33,31836521.163772006
34,31836498.490530826
35,31836474.802965023
36,31836464.797771327
37,31836456.828581907
38,31836452.579982623
39,31836438.564162783
40,31836439.929953378
41,31836430.059399594
42,31836425.21401318
43,31836426.063204594
44,31836420.176664405
45,31836413.28176733
46,31836415.673893422
47,31836408.06576358
48,31836396.9362188
49,31836402.102449425
50,31836402.048070174
51,31836402.050392315
52,31836402.084376764
53,31836404.31775778
54,31836396.462104212
55,31836385.19111932
56,31836396.330497418
57,31836387.265313163
58,31836390.660399042
59,31836399.046442777
60,31836599.54895991
61,31837867.585082278
62,31838368.292090382
63,31838449.848997466
64,31838457.238139354
65,31838457.348241422
66,31838426.52332098
67,31838369.44515584
68,31838343.551095042
69,31838402.530859828
70,31838431.982149363
71,31838398.37443401
72,31838400.582072675
73,31838457.397341274
74,31838500.53259714
75,31838486.850134984
76,31838493.11066971
77,31838514.828978684
78,31838504.510857314
79,31838496.918092836
80,31838491.746638678
81,31838446.747758865
82,31838444.79267858
83,31838489.30679488
84,31838521.141108576
85,31838525.384325657
86,31838525.74913841
87,31838429.318949617
88,31838422.348505408
89,31838479.403090652
90,31838600.907305777
