Time[s],Y
0,31839108.832172703
1,31839108.1168947
2,31839108.78804042
3,31839108.08834491
4,31839108.111889035
5,31839108.93933221
6,31839108.97652641
7,31839108.976134885
8,31839108.859584104
9,31839108.0182947
10,31839108.070956454
11,31839108.815712683
12,31839108.04927884
13,31839107.926655713
14,31839107.927728906
15,31839107.949530993
16,31839108.863536898
17,31839108.909646608
18,31839108.17114478
19,31839109.793648172
20,31839109.09181244
21,31839108.88845318
22,31839108.212975416
23,31839108.857614517
24,31839108.968202457
25,31839108.97313251
26,31839108.973184917
27,31839108.973102726
28,31839108.9728236
29,31839108.870808303
30,31839106.349944357
31,31839090.18388377
32,31839084.416580133
33,31839082.41619913
34,31839080.364612006
35,31839079.978137363
36,31839079.25813277
37,31839078.908403385
38,31839078.187461816
39,31839077.156435266
40,31839077.052403294
41,31839076.971970804
42,31839076.23850805
43,31839075.22940381
44,31839075.798512135
45,31839075.988926638
46,31839075.989232913
47,31839075.93654899
48,31839074.54634686
49,31839075.42235243
50,31839075.284208186
51,31839075.038934607
52,31839075.028716277
53,31839073.525116242
54,31839072.99947435
55,31839073.042214192
56,31839073.04268178
57,31839072.973280758
58,31839073.7237722
59,31839073.236051355
60,31839073.830669194
61,31839088.37500627
62,31839097.321368605
63,31839098.993441783
64,31839100.42135397
65,31839101.097294696
66,31839100.343437955
67,31839099.947085932
68,31839099.927882113
69,31839101.24657863
70,31839102.066768616
71,31839101.31934196
72,31839101.6421442
73,31839102.57730646
74,31839103.48986077
75,31839103.40718002
76,31839103.592657976
77,31839104.032240864
78,31839103.938935764
79,31839103.93510198
80,31839103.40273981
81,31839103.521480016
82,31839103.484010987
83,31839104.19047845
84,31839105.04778687
85,31839104.979587004
86,31839105.072646726
87,31839103.95231419
88,31839103.564217217
89,31839103.934364595
90,31839107.17922342
