Time[s],Y
0,31812601.21107126
1,31812612.24496614
2,31812611.15403315
3,31812612.752873875
4,31812614.00378154
5,31812612.435840245
6,31812615.35527059
7,31812617.410806555
8,31812615.598826967
9,31812609.667260747
10,31812604.249289412
11,31812609.587603226
12,31812614.537684616
13,31812616.35315687
14,31812619.30503474
15,31812619.193110608
16,31812620.072418127
17,31812620.202584546
18,31812621.03745484
19,31812617.65474395
20,31812617.63324491
21,31812621.059571654
22,31812620.195586715
23,31812620.89814517
24,31812617.732429072
25,31812618.443457775
26,31812618.558406245
27,31812619.51070264
28,31812619.320791956
29,31812619.994828466
30,31812585.52771575
31,31812413.338353008
32,31812354.228324115
33,31812338.405031223
34,31812330.80578216
35,31812324.87233665
36,31812320.309244666
37,31812316.06681719
38,31812313.131128922
39,31812310.722653996
40,31812307.50420149
41,31812304.52589334
42,31812302.724921174
43,31812301.60209167
44,31812298.827924475
45,31812296.63245611
46,31812296.262187585
47,31812294.930801466
48,31812291.412005346
49,31812289.47801624
50,31812289.47890247
51,31812289.316942524
52,31812286.037648566
53,31812286.13267075
54,31812284.444959875
55,31812282.512370117
56,31812281.00917875
57,31812279.504939802
58,31812278.79471529
59,31812277.298914567
60,31812294.04874141
61,31812471.318714447
62,31812547.79677748
63,31812564.383990154
64,31812569.0550524
65,31812571.37294672
66,31812571.23312458
67,31812566.06370216
68,31812564.283171497
69,31812573.42348741
70,31812577.01676204
71,31812571.9356978
72,31812574.070568595
73,31812582.886479307
74,31812588.522064522
75,31812585.828264892
76,31812587.5413051
77,31812592.712425567
78,31812592.896668598
79,31812591.865520626
80,31812592.200320113
81,31812587.948480137
82,31812587.85173689
83,31812593.074203677
84,31812596.60091018
85,31812599.582141377
86,31812599.729999922
87,31812587.41429192
88,31812588.416732367
89,31812594.49253435
90,31812636.68686682
