Time[s],Y
0,31838484.137849007
1,31838522.6977635
2,31838527.834140133
3,31838529.529513564
4,31838479.316011902
5,31838464.606669944
6,31838513.102160968
7,31838534.97785732
8,31838543.79377151
9,31838549.05620697
10,31838548.119511906
11,31838553.412882973
12,31838546.378688063
13,31838545.720441904
14,31838543.11779256
15,31838553.04029067
16,31838543.87025295
17,31838545.793907717
18,31838545.965397842
19,31838543.248862613
20,31838548.297350954
21,31838554.765709564
22,31838558.992996186
23,31838563.650044315
24,31838563.605937656
25,31838563.752971344
26,31838561.825238258
27,31838563.946640402
28,31838563.590701792
29,31838559.85069553
30,31838411.05948243
31,31837866.779492356
32,31837668.994827222
33,31837628.012663957
34,31837611.93952979
35,31837605.735648166
36,31837600.144923422
37,31837595.510244787
38,31837593.005933728
39,31837589.875588275
40,31837588.34330232
41,31837585.509427223
42,31837585.40892101
43,31837580.883014765
44,31837582.52450328
45,31837580.373302333
46,31837580.743983846
47,31837578.1673624
48,31837575.179853532
49,31837580.62926622
50,31837578.20507446
51,31837577.805259585
52,31837577.808659397
53,31837577.80867713
54,31837577.808676314
55,31837577.808676347
56,31837577.808684744
57,31837577.807841893
58,31837577.83885803
59,31837576.378917668
60,31837655.038535874
61,31838199.317275994
62,31838459.782165676
63,31838510.816062164
64,31838526.202188563
65,31838528.114609063
66,31838538.616737403
67,31838538.119263742
68,31838538.18414488
69,31838543.20285473
70,31838549.874239236
71,31838548.600774482
72,31838545.79652799
73,31838545.968139227
74,31838552.42302165
75,31838553.7238005
76,31838555.239221644
77,31838560.67862313
78,31838562.228950225
79,31838553.27300276
80,31838535.903180815
81,31838491.03223733
82,31838464.278154086
83,31838501.643302556
84,31838546.377414312
85,31838543.65812046
86,31838527.68902801
87,31838540.577373307
88,31838548.299408596
89,31838553.276935868
90,31838457.33760518
