Time[s],Y
0,31838618.649803203
1,31838681.691500857
2,31838691.38051464
3,31838678.824361987
4,31838567.390457854
5,31838546.859052397
6,31838650.906318385
7,31838702.886790648
8,31838720.177058484
9,31838730.749774847
10,31838726.122455508
11,31838736.732157245
12,31838722.50299993
13,31838720.82109311
14,31838725.033357944
15,31838732.647954687
16,31838727.26873683
17,31838720.621250175
18,31838720.622364644
19,31838714.710270632
20,31838724.684485592
21,31838747.353029393
22,31838759.177494977
23,31838758.706079997
24,31838758.719871406
25,31838759.03672141
26,31838754.867505126
27,31838759.798651464
28,31838764.132837374
29,31838744.984196533
30,31838357.13441399
31,31837142.840646107
32,31836784.003859147
33,31836711.502521407
34,31836683.29752724
35,31836673.527017668
36,31836663.23481786
37,31836656.211236432
38,31836646.371471874
39,31836653.54038368
40,31836646.59447257
41,31836636.148455385
42,31836640.495337673
43,31836633.85377484
44,31836635.197931815
45,31836635.18382947
46,31836634.957026877
47,31836626.702191252
48,31836629.693795178
49,31836629.682496656
50,31836629.682222735
51,31836629.682229
52,31836629.682232246
53,31836629.681290746
54,31836629.746772867
55,31836624.075690288
56,31836635.32051121
57,31836628.495331485
58,31836623.956396997
59,31836642.415789668
60,31836856.633606374
61,31838089.1029802
62,31838572.808144785
63,31838666.420360155
64,31838692.18580927
65,31838703.82932373
66,31838715.04785497
67,31838714.694059394
68,31838714.80565269
69,31838725.81868661
70,31838737.2464706
71,31838728.64478033
72,31838725.961316403
73,31838724.893815108
74,31838731.06564639
75,31838737.588536676
76,31838749.44155657
77,31838760.527515583
78,31838771.3488098
79,31838739.933530066
80,31838699.926368706
81,31838596.401133876
82,31838539.45519159
83,31838637.405417975
84,31838731.816980958
85,31838714.39578808
86,31838681.65828703
87,31838716.739498485
88,31838727.655654352
89,31838736.469027445
90,31838792.119376034
