Time[s],Y
0,31843861.229470648
1,31843850.124021005
2,31843850.76747547
3,31843849.371133182
4,31843837.25044493
5,31843829.38114407
6,31843845.42110092
7,31843853.557243496
8,31843857.2549644
9,31843857.73608241
10,31843860.234283667
11,31843859.71304156
12,31843858.882540353
13,31843859.998108543
14,31843859.713821076
15,31843859.72020618
16,31843859.83128012
17,31843859.01124843
18,31843857.936197333
19,31843856.702692203
20,31843858.16384194
21,31843862.278930344
22,31843864.122980997
23,31843864.0522425
24,31843864.064712223
25,31843862.29085884
26,31843862.684094474
27,31843863.830869805
28,31843864.06490545
29,31843863.869417183
30,31843828.836400744
31,31843633.897330187
32,31843564.68982574
33,31843549.807882316
34,31843544.264621384
35,31843542.248936757
36,31843539.35720316
37,31843537.32527119
38,31843537.109357614
39,31843535.678053178
40,31843534.33250889
41,31843535.060620554
42,31843535.315711617
43,31843532.04832986
44,31843532.754117083
45,31843533.61659664
46,31843531.32127188
47,31843530.988203317
48,31843531.037370306
49,31843529.957513377
50,31843528.7950228
51,31843530.256627165
52,31843528.404349096
53,31843530.372372027
54,31843530.127162464
55,31843528.421654128
56,31843530.053982656
57,31843528.161746662
58,31843527.3585744
59,31843528.769209877
60,31843552.248130158
61,31843733.172699064
62,31843822.48642505
63,31843841.605108462
64,31843847.668986805
65,31843850.049001355
66,31843853.636818804
67,31843852.74951546
68,31843851.873666182
69,31843854.59195075
70,31843857.107169714
71,31843857.14842781
72,31843856.235390846
73,31843855.92245399
74,31843858.270977404
75,31843858.773172982
76,31843859.001946006
77,31843861.84268499
78,31843862.28290199
79,31843858.80511791
80,31843853.884916954
81,31843839.42331277
82,31843829.388072535
83,31843841.70447685
84,31843856.941855185
85,31843854.744608175
86,31843851.894673157
87,31843855.2470247
88,31843859.12521872
89,31843858.783686735
90,31843857.087309003
