Square_number,Circle_number,Center_x,Center_y,Diameter_nm
1,15,177,16
1,35,86,22
1,51,279,46
1,121,188,58
1,171,179,14
1,173,211,10
1,178,116,16
1,253,377,12
1,305,219,16
1,318,328,50
1,329,216,28
1,362,400,32
1,378,127,22
1,408,298,12
2,427,326,24
2,453,76,16
2,503,99,26
2,525,250,62
2,542,46,16
2,553,370,60
2,565,219,30
2,608,423,12
2,625,202,10
2,625,362,12
2,631,123,12
2,649,333,28
2,665,116,12
2,675,12,32
2,683,89,14
2,741,194,8
2,784,349,28
2,793,121,38
2,828,37,16
3,886,199,18
3,889,63,24
3,929,128,28
3,936,25,20
3,947,320,22
3,972,144,16
3,989,292,42
3,1034,44,14
3,1130,360,12
3,1150,226,36
3,1200,258,14
3,1240,111,26
3,1240,184,16
3,1250,82,30
4,10,524,74
4,22,831,20
4,27,617,14
4,36,494,14
4,69,586,28
4,70,557,26
4,71,768,14
4,132,676,16
4,141,629,20
4,149,672,26
4,160,795,14
4,221,572,14
4,244,567,12
4,272,670,26
4,353,441,14
4,375,708,18
5,448,518,36
5,453,713,94
5,457,773,92
5,479,527,28
5,508,640,48
5,531,509,14
5,550,520,10
5,564,693,42
5,579,441,12
5,589,620,12
5,604,536,14
5,666,620,12
5,671,773,10
5,673,660,16
5,724,543,8
5,788,576,26
5,803,824,58
5,806,537,10
5,815,660,64
5,824,481,64
