Time[s],Y
0,31822503.134701535
1,31822500.14464103
2,31822501.610636186
3,31822500.851940196
4,31822500.151298128
5,31822499.862958625
6,31822500.82320604
7,31822499.853277817
8,31822499.983110413
9,31822499.815361883
10,31822498.98244836
11,31822497.948895156
12,31822498.21300625
13,31822499.873073913
14,31822499.85894099
15,31822499.14900264
16,31822498.79799935
17,31822496.263605636
18,31822497.764943272
19,31822497.951099463
20,31822497.950201742
21,31822497.95004887
22,31822497.888299357
23,31822496.991566975
24,31822496.075090595
25,31822496.732997853
26,31822496.989201184
27,31822497.8857421
28,31822497.948005825
29,31822496.85027178
30,31822490.542712294
31,31822465.872705266
32,31822455.945770953
33,31822453.109559942
34,31822451.055583686
35,31822449.153667122
36,31822447.277908273
37,31822446.977892704
38,31822446.071199514
39,31822445.197371628
40,31822444.985763155
41,31822444.05304313
42,31822443.826649982
43,31822442.119898748
44,31822442.92932745
45,31822442.978908483
46,31822442.01430388
47,31822441.975316953
48,31822442.1546567
49,31822441.111233335
50,31822441.00905532
51,31822441.777743563
52,31822442.134981386
53,31822441.048033144
54,31822441.039412405
55,31822440.883600015
56,31822441.863215845
57,31822441.214258313
58,31822441.05056425
59,31822440.87891869
60,31822449.649487212
61,31822471.86908129
62,31822485.74497916
63,31822488.57812911
64,31822489.51915077
65,31822491.11141344
66,31822491.31398889
67,31822489.773270722
68,31822490.11123211
69,31822490.739002667
70,31822492.06935014
71,31822492.40859128
72,31822493.016727977
73,31822492.162587125
74,31822491.532460686
75,31822492.56842298
76,31822492.92620363
77,31822493.525656458
78,31822493.312230833
79,31822492.93449427
80,31822492.41482005
81,31822492.50459627
82,31822492.93466683
83,31822491.745599836
84,31822490.67829799
85,31822491.49420264
86,31822491.34477396
87,31822491.491784252
88,31822491.988060035
89,31822491.993318662
90,31822492.639650285
