Time[s],Y
0,31839088.340571966
1,31839088.083486848
2,31839087.987218585
3,31839088.853872295
4,31839088.100064456
5,31839087.92750665
6,31839088.165614363
7,31839089.74244834
8,31839089.081730515
9,31839088.942630794
10,31839088.77191238
11,31839087.246559985
12,31839087.946315408
13,31839088.976768278
14,31839088.942447614
15,31839088.878430214
16,31839087.972932916
17,31839087.9292686
18,31839088.070162877
19,31839088.78155787
20,31839088.09860144
21,31839088.831260532
22,31839088.922944225
23,31839088.004186355
24,31839087.137725472
25,31839087.88308888
26,31839087.953773957
27,31839088.091377996
28,31839088.841705967
29,31839088.82141217
30,31839085.633926358
31,31839076.662912678
32,31839070.526583727
33,31839068.200979628
34,31839066.942905214
35,31839065.264381364
36,31839064.898854256
37,31839064.971390434
38,31839064.892472785
39,31839064.067895003
40,31839063.96470267
41,31839063.887299582
42,31839063.121098682
43,31839062.977893807
44,31839062.931520313
45,31839062.153385367
46,31839062.76822491
47,31839062.099469505
48,31839062.04007217
49,31839062.03299357
50,31839061.916191723
51,31839061.158399124
52,31839061.856088683
53,31839060.99376385
54,31839061.036048125
55,31839061.03551235
56,31839061.035514243
57,31839061.035413094
58,31839061.039138183
59,31839060.546834826
60,31839062.894639067
61,31839072.544596516
62,31839079.16043539
63,31839080.554494075
64,31839081.583459076
65,31839082.006668482
66,31839082.536941648
67,31839082.37778935
68,31839082.00246455
69,31839082.0059366
70,31839082.61909607
71,31839082.965007957
72,31839083.53062499
73,31839084.00094623
74,31839082.92980289
75,31839082.509918932
76,31839083.51590597
77,31839084.52514767
78,31839085.065502428
79,31839084.930815123
80,31839084.489207
81,31839084.549261678
82,31839084.42075406
83,31839083.97653098
84,31839084.009951282
85,31839083.455931343
86,31839083.522650283
87,31839084.013140492
88,31839084.008436944
89,31839084.009793334
90,31839081.904227197
