filename,L*,a*,b*
no_01.txt,0.5599918914361162,0.0019821484949361645,-0.0646814639245541
no_02.txt,0.7113552630284623,-0.009167757921479947,-0.09148626921890446
no_03.txt,0.9427927772689344,-0.05091657882462519,0.032944907500281895
no_04.txt,1.792154607395446,-0.15154340722492443,0.2836228338930269
no_05.txt,0.8076013197731307,-0.0184626133572785,-0.06431474495426914
no_06.txt,0.969447070028675,-0.027056300034231096,-0.05125318214251329
no_07.txt,1.274805649498333,-0.06992834210887977,0.07618210028068062
no_08.txt,2.0233427968688673,-0.15940968218799978,0.35167208805962913
no_09.txt,0.9718880921482125,-0.02849051112258083,-0.0441778530492265
no_10.txt,1.1857126326134981,-0.06688184233305527,0.07514745778777754
no_11.txt,1.2992780530798242,-0.08186679243907258,0.11104872990893022
no_12.txt,2.1759359281287693,-0.1886598051705768,0.6443508422229682
no_13.txt,1.0069095990725323,-0.02881199532679679,-0.033408233165632684
no_14.txt,1.1809597743714448,-0.059665206879555566,0.0493912920115247
no_15.txt,1.2108567131452155,-0.06273027444521351,0.03508369484034324
no_16.txt,3.003215532271721,-0.18433269015040443,1.127758448261662
Unprocessed_cotton.txt,0.1475294767154729,0.009986285197022271,-0.02506261137503185
