Time[s],Membrane1,Membrane2,Membrane3,Membrane4,Membrane5
0,3058,3099,3032,3274,2901
0.1,3056,3098,3030,3274,2900
0.2,3055,3098,3030,3272,2898
0.3,3056,3098,3031,3273,2899
0.4,3056,3100,3031,3274,2900
0.5,3055,3098,3030,3272,2898
0.6,3055,3097,3030,3272,2898
0.7,3055,3097,3029,3272,2899
0.8,3054,3097,3030,3272,2899
0.9,3055,3098,3031,3273,2898
1,3055,3098,3032,3274,2900
1.1,3055,3099,3031,3274,2900
1.2,3054,3097,3030,3272,2898
1.3,3055,3099,3031,3274,2899
1.4,3053,3097,3030,3272,2900
1.5,3053,3097,3030,3273,2899
1.6,3054,3098,3031,3274,2899
1.7,3055,3098,3031,3273,2899
1.8,3054,3098,3031,3273,2898
1.9,3055,3097,3031,3274,2899
2,3050,3094,3027,3269,2895
2.1,3053,3098,3029,3272,2897
2.2,3054,3098,3030,3273,2898
2.3,3055,3099,3031,3275,2900
2.4,3053,3099,3031,3274,2898
2.5,3049,3094,3026,3268,2895
2.6,3054,3099,3031,3273,2899
2.7,3050,3095,3028,3270,2896
2.8,3053,3098,3031,3272,2898
2.9,3055,3098,3031,3273,2900
3,3054,3098,3032,3273,2899
3.1,3051,3095,3027,3269,2894
3.2,3055,3098,3031,3273,2899
3.3,3054,3099,3031,3273,2900
3.4,3053,3098,3030,3272,2897
3.5,3055,3100,3031,3275,2900
3.6,3054,3098,3031,3273,2900
3.7,3053,3097,3030,3272,2897
3.8,3054,3098,3031,3273,2899
3.9,3054,3100,3031,3274,2899
4,3054,3099,3031,3275,2899
4.1,3053,3098,3030,3273,2898
4.2,3055,3100,3032,3275,2900
4.3,3053,3098,3030,3272,2898
4.4,3053,3097,3030,3273,2898
4.5,3055,3099,3032,3274,2900
4.6,3053,3099,3030,3273,2898
4.7,3053,3097,3030,3272,2897
4.8,3053,3097,3029,3273,2899
4.9,3054,3099,3031,3273,2899
5,3054,3097,3030,3272,2898
5.1,3055,3098,3030,3272,2898
5.2,3056,3100,3031,3275,2900
5.3,3052,3098,3030,3273,2898
5.4,3053,3098,3030,3272,2899
5.5,3052,3097,3029,3272,2898
5.6,3053,3098,3030,3273,2899
5.7,3054,3098,3030,3273,2899
5.8,3055,3099,3031,3273,2900
5.9,3052,3097,3029,3273,2897
6,3052,3096,3029,3272,2897
6.1,3054,3098,3031,3274,2900
6.2,3053,3098,3029,3271,2898
6.3,3054,3099,3030,3272,2898
6.4,3053,3097,3030,3273,2898
6.5,3052,3096,3029,3271,2897
6.6,3053,3097,3030,3271,2897
6.7,3054,3099,3030,3274,2899
6.8,3050,3094,3026,3268,2895
6.9,3053,3097,3030,3271,2897
7,3055,3099,3032,3273,2899
7.1,3050,3094,3026,3269,2895
7.2,3053,3097,3029,3273,2897
7.3,3054,3098,3030,3272,2897
7.4,3053,3098,3031,3273,2899
7.5,3053,3098,3030,3273,2898
7.6,3053,3097,3030,3273,2898
7.7,3054,3098,3031,3274,2899
7.8,3052,3097,3029,3271,2897
7.9,3053,3098,3030,3272,2898
8,3050,3095,3028,3270,2897
8.1,3053,3097,3030,3273,2899
8.2,3054,3098,3031,3272,2898
8.3,3053,3098,3030,3274,2899
8.4,3054,3099,3030,3273,2898
8.5,3054,3097,3029,3272,2897
8.6,3053,3098,3030,3273,2899
8.7,3053,3097,3029,3272,2898
8.8,3053,3097,3030,3272,2897
8.9,3055,3099,3031,3274,2900
9,3054,3099,3030,3273,2898
9.1,3053,3097,3029,3272,2898
9.2,3054,3099,3030,3274,2898
9.3,3055,3098,3031,3274,2899
9.4,3054,3097,3031,3273,2898
9.5,3053,3098,3030,3274,2898
9.6,3054,3097,3030,3272,2898
9.7,3053,3098,3031,3273,2897
9.8,3052,3097,3030,3271,2897
9.9,3054,3098,3030,3273,2898
10,3054,3098,3031,3273,2898
10.1,3049,3094,3026,3269,2893
10.2,3054,3098,3031,3272,2898
10.3,3053,3099,3030,3273,2899
10.4,3053,3098,3030,3274,2897
10.5,3054,3099,3031,3273,2898
