Time[s],Membrane1,Membrane2,Membrane3,Membrane4,Membrane5
0,3024,3106,3038,3286,2930
0.1,3024,3106,3037,3287,2930
0.2,3024,3107,3039,3287,2931
0.3,3023,3107,3037,3287,2930
0.4,3022,3105,3037,3286,2931
0.5,3024,3108,3038,3287,2932
0.6,3023,3106,3038,3287,2931
0.7,3023,3106,3039,3287,2931
0.8,3022,3105,3035,3285,2929
0.9,3023,3105,3038,3285,2931
1,3023,3106,3036,3285,2930
1.2,3022,3105,3036,3285,2929
1.3,3022,3106,3037,3285,2930
1.4,3025,3107,3039,3287,2932
1.5,3022,3106,3037,3285,2929
1.6,3023,3106,3037,3286,2929
1.7,3023,3106,3039,3287,2931
1.8,3024,3107,3039,3288,2932
1.9,3023,3105,3037,3286,2930
2,3024,3106,3038,3287,2930
2.1,3024,3106,3038,3288,2932
2.2,3022,3105,3038,3286,2930
2.3,3023,3106,3039,3287,2931
2.4,3023,3107,3038,3287,2932
2.5,3023,3106,3038,3287,2929
2.6,3022,3106,3037,3286,2930
2.7,3023,3107,3039,3288,2933
2.8,3023,3105,3038,3286,2930
2.9,3022,3106,3037,3287,2929
3,3024,3107,3038,3287,2931
3.1,3023,3107,3038,3288,2930
3.2,3021,3105,3037,3288,2930
3.3,3024,3107,3039,3286,2931
3.4,3022,3105,3037,3286,2930
3.5,3023,3106,3037,3286,2929
3.6,3023,3107,3038,3287,2931
3.7,3023,3106,3038,3288,2932
3.8,3022,3105,3037,3286,2929
3.9,3023,3106,3039,3287,2931
4,3024,3107,3039,3288,2932
4.1,3023,3106,3039,3287,2931
4.2,3024,3106,3038,3287,2930
4.3,3023,3106,3038,3288,2932
4.4,3023,3106,3038,3287,2930
4.5,3023,3106,3038,3287,2930
4.6,3022,3104,3036,3285,2930
4.7,3022,3105,3037,3287,2931
4.8,3022,3106,3038,3286,2931
4.9,3022,3104,3037,3286,2930
5,3022,3105,3038,3286,2931
5.1,3022,3105,3038,3286,2929
5.2,3022,3106,3038,3287,2931
5.3,3023,3105,3038,3286,2931
5.4,3022,3105,3038,3287,2930
5.5,3023,3105,3038,3288,2931
5.6,3022,3106,3038,3288,2931
5.7,3022,3105,3038,3287,2931
5.8,3023,3105,3038,3286,2930
5.9,3024,3107,3040,3289,2933
6,3022,3104,3037,3286,2929
6.1,3021,3105,3038,3288,2931
6.2,3023,3106,3038,3287,2932
6.3,3022,3104,3038,3287,2930
6.4,3021,3104,3037,3286,2929
6.5,3018,3101,3033,3282,2927
