Time[s],0,2,4,6
0,0,0,0,0
1,-5.5807228,-2.911768641,-0.262251799,10.0058678
2,-5.581095041,-11.46944712,10.85046302,9.85809806
3,-22.18736552,-26.67570304,29.53899592,20.0800158
4,-29.34755742,-35.68907844,25.80423804,2.89026094
5,-13.89505274,-48.81568902,18.75429798,-4.65577824
6,-1.914928079,-28.91911482,15.98734272,15.539272
7,22.35402212,-7.082875501,6.870454179,18.343347
8,24.72249448,-12.1023397,13.66000834,-10.04234592
9,31.06838266,-46.0270933,24.91800228,-22.87029306
10,35.78207004,-75.4949582,28.19566216,-0.91069522
11,18.75182806,-76.9905422,24.23229662,30.64670146
12,10.8645587,-57.14614378,12.23051182,27.51038274
13,23.32534846,-48.36752008,7.786856341,19.9179761
14,24.15600484,-45.217356,9.360121419,13.29801392
15,39.26277722,-35.6943983,20.35402636,18.33263382
16,30.39922578,-65.6711267,19.17310856,29.61161366
17,14.35601582,-110.6447246,4.94843354,26.69906314
18,2.78922736,-91.78395042,4.2111409,11.52806768
19,24.62825976,-48.5023308,25.38158474,23.80796334
20,42.85256706,-19.27112298,35.62011318,32.6200591
21,42.59530952,-20.01805108,43.06036274,52.35994336
22,48.97664258,-31.30422584,37.31252978,53.5417048
23,32.9709611,-47.83264462,26.9997422,54.12438498
24,15.59149556,-73.90519072,20.02506758,58.3504125
25,23.24426522,-103.2477287,14.48647788,52.28566176
26,43.02448982,-108.1351529,38.45486228,55.40107962
27,58.28472218,-83.8789657,35.17483014,57.97176212
28,66.7510608,-61.43377126,27.08176766,69.8319303
29,46.57709562,-62.31893336,14.39590482,43.07178736
30,-200.260674,-257.2374026,-202.3721683,-297.1582686
31,-1165.100631,-1134.141591,-995.6068643,-1542.136794
32,-1487.331426,-1452.961945,-1256.762213,-1893.128294
33,-1575.036027,-1542.826503,-1330.306872,-1971.025491
34,-1605.658371,-1578.530095,-1359.330656,-1997.78529
35,-1624.089453,-1601.442893,-1377.513672,-2016.952931
36,-1638.888452,-1618.672735,-1390.482995,-2027.520079
37,-1649.547484,-1629.91284,-1401.427114,-2038.438344
38,-1658.302444,-1640.662499,-1410.325016,-2044.257223
39,-1660.432156,-1648.94177,-1414.375006,-2051.925141
40,-1668.171636,-1657.75966,-1423.692237,-2053.755907
41,-1674.092978,-1665.520672,-1423.99066,-2061.215072
42,-1675.0881,-1668.047855,-1431.74883,-2066.658691
43,-1679.939728,-1672.432643,-1435.283048,-2066.232093
44,-1682.192327,-1674.751656,-1439.085817,-2071.74071
45,-1683.107718,-1681.593877,-1444.268151,-2076.065434
46,-1688.408229,-1686.464072,-1444.969175,-2074.525617
47,-1686.948176,-1685.068195,-1450.346568,-2080.929048
48,-1689.283209,-1695.330685,-1451.339547,-2081.515313
49,-1691.663786,-1693.784317,-1453.621889,-2084.237464
50,-1691.170328,-1698.101193,-1455.548577,-2085.290807
51,-1693.780504,-1699.796842,-1458.739707,-2086.567175
52,-1693.218476,-1703.845043,-1461.754226,-2087.664155
53,-1693.541131,-1702.305344,-1462.095365,-2087.995306
54,-1695.254812,-1704.536972,-1465.53362,-2088.761377
55,-1695.802502,-1707.472511,-1465.605048,-2094.199692
56,-1696.155944,-1707.804086,-1465.548617,-2089.845617
57,-1697.748968,-1709.365758,-1471.012761,-2096.142226
58,-1697.628768,-1711.537501,-1471.943213,-2095.534588
59,-1691.541836,-1708.307922,-1468.576408,-2083.945346
60,-1540.77863,-1551.405717,-1346.179833,-1878.003338
61,-506.68265,-636.6650783,-483.6960739,-589.9088075
62,-95.91997638,-258.5223653,-140.2829718,-110.5107725
63,-23.63784588,-184.8165139,-84.0781912,-31.34044376
64,0.72886546,-159.8496997,-69.76989486,-14.08476532
65,6.47761732,-133.7077041,-66.49433128,-8.78744396
66,11.9291715,-117.1935822,-75.60717106,-4.90912274
67,26.04330666,-111.0603858,-67.71847354,0.38989652
68,39.03322132,-117.3892435,-41.82320934,2.31478624
69,53.15925028,-144.5994778,-27.35422754,18.76967716
70,55.92431092,-141.9289622,-37.72333206,33.7785547
71,48.2428112,-102.1196787,-37.66623076,27.30040962
72,43.58092774,-64.4750592,-36.60950682,27.77023522
73,38.31762966,-49.78871236,-30.90810834,35.4823655
74,38.66346508,-54.68591834,-16.04402122,45.09033554
75,29.11835972,-63.13296158,-5.743195879,36.04793944
76,35.44380788,-83.8354931,-9.465920519,52.86514178
77,55.12981866,-93.96132278,-12.13447472,72.34596298
78,61.2030885,-101.4947449,-21.48096662,78.27884658
79,66.00198216,-98.09575814,-40.15067414,76.24342382
80,74.3983632,-81.66197598,-45.76398952,64.50971872
81,73.84284612,-68.91614764,-37.84757174,36.37199674
82,63.94234142,-62.96812208,-27.42388998,25.76799336
83,49.11811786,-61.63618464,-19.27361562,38.80512688
84,51.80264022,-50.28460302,-34.78551934,49.44370528
85,63.58951072,-46.99684406,-44.53980094,53.4550551
86,72.90392636,-32.23646076,-33.42864048,46.5294799
87,72.92539546,-21.86470094,-17.32268328,31.28716882
88,77.46092166,-33.10424342,-26.92616578,46.38265878
89,67.39547758,-31.77415074,-39.09517956,60.8094192
90,156.3271179,-84.47705406,-43.79812318,44.54302122
