Time[s],Y
0,31812198.656112377
1,31812193.178256724
2,31812190.697715912
3,31812192.84490358
4,31812193.220798966
5,31812190.378446538
6,31812188.517706364
7,31812191.81919444
8,31812194.109684307
9,31812195.268087335
10,31812194.40904068
11,31812194.417024635
12,31812193.310039245
13,31812192.71117593
14,31812195.577069785
15,31812194.876192115
16,31812195.78431652
17,31812192.378328793
18,31812190.79221922
19,31812192.087654825
20,31812195.47359271
21,31812195.643568754
22,31812195.96926029
23,31812196.99726177
24,31812196.824205153
25,31812195.794163503
26,31812197.015769932
27,31812196.841357734
28,31812196.84633092
29,31812197.15433496
30,31812169.456958104
31,31812053.1297796
32,31812005.894095343
33,31811993.48511718
34,31811988.352999363
35,31811985.639055733
36,31811983.08530549
37,31811980.97614692
38,31811978.41291167
39,31811979.397315487
40,31811977.100112833
41,31811975.973327048
42,31811973.776941188
43,31811972.827923108
44,31811971.3807787
45,31811971.737982392
46,31811970.391729042
47,31811969.884994242
48,31811968.699018244
49,31811968.677439213
50,31811967.6461542
51,31811968.674152512
52,31811966.26753023
53,31811967.32063207
54,31811966.196199987
55,31811965.048309326
56,31811965.141740173
57,31811964.469059445
58,31811963.73678784
59,31811963.13193475
60,31811977.10375572
61,31812105.815901417
62,31812159.97497851
63,31812168.09021004
64,31812169.941741377
65,31812170.16159429
66,31812166.779249206
67,31812170.16594098
68,31812175.87823
69,31812180.34871058
70,31812182.31823103
71,31812179.929826636
72,31812177.43686916
73,31812178.728762258
74,31812181.67051841
75,31812182.25394022
76,31812184.91487992
77,31812187.387941964
78,31812185.103240494
79,31812181.050960068
80,31812182.699345186
81,31812186.77799463
82,31812186.32025637
83,31812187.255536962
84,31812188.43597366
85,31812190.525700793
86,31812194.572503768
87,31812198.24147613
88,31812193.78672914
89,31812189.58488185
90,31812215.599175096
