x,z_original,z_tilt_corrected,waviness_component,z_corrected
0.0,-2.146466114,-1.7921295246736535,-1.3510658159581923,-0.44050919318047155
0.25,-2.186825652,-1.8339133657748263,-1.3509554545896543,-0.4824033956501824
0.5,-2.19516563,-1.843677646875999,-1.3442172662554692,-0.49890586508554013
0.75,-2.196617686,-1.846554005977172,-1.3323735098699225,-0.5136259805722597
1.0,-2.167390519,-1.8187511420783444,-1.316731562233014,-0.5014650643103408
1.25,-2.143413087,-1.796198013179517,-1.2974233314590298,-0.4982201661854976
1.5,-2.089203215,-1.7434124442806898,-1.265467382690827,-0.4773905460548732
1.75,-1.943998208,-1.5996317403818627,-1.2283069347855482,-0.3707702900613249
2.0,-1.826828946,-1.4838867814830354,-1.183510203228908,-0.2998220627191378
2.25,-1.801622843,-1.4601049815842082,-1.134284463135192,-0.3252660029140265
2.5,-1.671459586,-1.331366027685381,-1.0840837851901144,-0.2467277269602769
2.75,-1.550827737,-1.2121584817865536,-1.030304053593675,-0.18129991265788903
3.0,-1.466162048,-1.1289170958877262,-0.9726080520887315,-0.15575452826400504
3.25,-1.210079996,-0.8742593469888988,-0.9122084815038548,0.038503650049945604
3.5,-1.159816725,-0.8254203790900716,-0.8519690193247595,0.027103155769677593
3.75,-1.077496652,-0.7445246091912444,-0.7899206210371597,0.04595052738090488
4.0,-0.972465034,-0.640917294292417,-0.7271515269553412,0.08678874819791393
4.25,-0.894017097,-0.5638936603935898,-0.6664254187935899,0.1030862739349897
4.5,-0.888730146,-0.5600310124947625,-0.606982762723334,0.047506265763561095
4.75,-0.732355533,-0.40508070259593526,-0.5464720787673638,0.1419458917064182
5.0,-0.655843663,-0.3299931356971079,-0.48513484341139373,0.15569622324927546
5.25,-0.602378436,-0.27795221179828067,-0.4259283450554236,0.14853064879213257
5.5,-0.521473191,-0.1984712698994534,-0.3675632910137392,0.16964653664927543
5.75,-0.332036507,-0.010458889000626146,-0.3087801741149119,0.2988758006492754
6.0,-0.23169612,0.08845719489820107,-0.2514225129303703,0.34043422336356105
6.25,-0.082209435,0.2365195767970284,-0.20123255391725733,0.4383066462492754
6.5,-0.054508787,0.2627959216958557,-0.15422859450414433,0.41757903173498967
6.75,-0.042743459,0.27313694659468296,-0.1076575907481742,0.3813490528778468
7.0,-0.031797237,0.2826588654935102,-0.06433109447791834,0.3475444755064182
7.25,-0.037084191,0.2759476083923375,-0.02251409189337678,0.2990162158207039
7.5,0.006179461,0.31778695729116474,0.01734131334830763,0.30100015947784675
7.75,-0.020553159,0.28963003418999206,0.051716160475706326,0.23846838924927538
8.0,0.016381044,0.3251399340888193,0.0837113475745336,0.24198310204927534
8.25,0.045906059,0.3532406459876466,0.11048021807336089,0.24331494344927534
8.5,-0.014409864,0.29150041988647385,0.13410244837218815,0.15795248704927534
8.75,-0.016122543,0.28836343778530116,0.15555032678530112,0.13336762653498968
9.0,-0.019101105,0.2839605726841284,0.1760014498841284,0.10851363833498961
9.25,0.001488216,0.3031255905829557,0.19038800386866994,0.11329210224927538
9.5,-0.074539635,0.22567343648178295,0.20785949919606866,0.018368452820703932
9.75,-0.074763019,0.22402574938061026,0.22401404358061022,0.0005662213349896835
10.0,-0.036153387,0.2612110782794375,0.23983881865086604,0.021926775163561122
10.25,-0.031834465,0.2641056971782648,0.24663960789255046,0.018020604820704004
10.5,-0.137499034,0.15701682507709205,0.25429779799137775,-0.09672645737929605
10.75,-0.131839758,0.16125179797591935,0.2582529945759193,-0.09644668106501034
11.0,-0.121787103,0.1698801498747466,0.26110080353188947,-0.09066613812215324
11.25,-0.105181608,0.18506134177357392,0.262454011516431,-0.07683815420786744
11.5,-0.037382038,0.25143660867240114,0.2633466058438297,-0.011355481636438899
11.75,-0.021372256,0.2660220875712284,0.26407537931408553,0.002501223792132526
12.0,0.042890262,0.3288603024700557,0.26348188269862716,0.0659329353064182
12.25,0.009865432,0.294411169368883,0.26314794699745436,0.031817737906418286
12.5,-0.090735576,0.19238585826771026,0.26330547418199596,-0.07036510037929605
12.75,-0.095836365,0.1858607661665375,0.2619205306522518,-0.07550524895072466
13.0,-0.093490744,0.18678208406536478,0.2622003916653648,-0.07486379206501037
13.25,-0.123090229,0.1557582959641921,0.26289831567847777,-0.10658550417929602
13.5,-0.178975535,0.09844868686301934,0.2639972818344479,-0.16499407943643896
13.75,0.005509282,0.2815092007618466,0.26343250736184665,0.0186312089349896
14.0,0.012881226,0.2874568416606739,0.26452509120353107,0.023486265992132497
14.25,0.082244545,0.3553958575595012,0.2643007239595012,0.09164964913498963
14.5,-0.044158275,0.22756873445832845,0.26147755962975705,-0.033354309636438956
14.75,0.086191142,0.3564938483571557,0.2574289287000129,0.09961943519213246
15.0,0.106073054,0.374951457255983,0.25852683122741155,0.1169791415635611
15.25,0.095015135,0.3624692351548102,0.2609470034976674,0.10207674719213244
15.5,0.054469429,0.32049922605363756,0.26237680302506605,0.058676938563561154
15.75,0.049294173,0.3138996669524648,0.2640576531238934,0.05039652936356104
16.0,0.038273489,0.3014546798512921,0.26394604559414925,0.03806314979213249
16.25,0.035257688,0.29701457575011936,0.25912830660726227,0.03844078467784673
16.5,0.0176097,0.27794228464894666,0.2532202007346609,0.02527659944927541
16.75,0.071745104,0.3306533855477739,0.2497140940334882,0.08149380704927534
17.0,0.047283644,0.3047676224466012,0.24843127290374406,0.0568908650778468
17.25,0.04523588,0.30129555534542846,0.24788139123114272,0.053968679649275375
17.5,0.058155406,0.3127907782442558,0.24843357827282714,0.06491171550641828
17.75,0.069213319,0.322424388143083,0.24931659857165445,0.07366230510641819
18.0,0.031571718,0.28335848404191033,0.2515559293276246,0.032357070249275366
18.25,0.013551408,0.26391387094073754,0.249213590169309,0.015254796306418187
18.5,-0.032765264,0.21617289583956484,0.24634787475385056,-0.029620463379296077
18.75,-0.08511353,0.1624003267383921,0.24439913159553495,-0.0814442893221532
19.0,-0.123685939,0.12240361463721937,0.24713311669436222,-0.12417498652215321
19.25,-0.049221837,0.19544341353604666,0.24672578050747523,-0.05072785143643893
