x,z_original,z_tilt_corrected,waviness_component,z_corrected
0.0,30.65356233,0.3350247826159181,0.042851060174607686,0.291309706234023
0.25,30.31241764,-0.0061657018778826485,0.04102302639485564,-0.04805274448002574
0.5,30.30861305,-0.010016086371681134,0.0410175310555997,-0.05189763363456829
0.75,30.21476656,-0.10390837086547886,0.04313894095683969,-0.14791132802960602
1.0,30.28705372,-0.0316670053592811,0.04053899889857581,-0.07307002046514437
1.25,30.16150233,-0.15726418985307997,0.06309639928080776,-0.2212246053411752
1.5,30.11584728,-0.20296503434688115,0.0663735589035358,-0.2702026094577044
1.75,30.64214856,0.32329045115932026,0.0824811969667599,0.2399452379852729
2.0,29.94210444,-0.37679946333447795,0.08823669347047988,-0.46590017301224523
2.25,30.63961217,0.32066247217171956,0.09875694281469612,0.221041513149736
2.5,30.48996506,0.17096956767791885,0.09380153899940813,0.07630401247122327
2.75,30.47347851,0.15443722318411848,0.08194348602461621,0.07162972095221483
3.0,30.60663908,0.2875519986903226,0.08154626029032036,0.2051417221927148
3.25,30.56098403,0.2418511541965214,0.07115198739652064,0.16983515059271329
3.5,30.47347851,0.15429983970272024,0.08683182170272097,0.06660400179271182
3.75,30.54322928,0.2240048152089185,0.10428713000892109,0.11885366899270995
4.0,30.57493418,0.2556639207151226,0.09891491271512115,0.155884991792714
4.25,30.5064516,0.1871355462213207,0.09450652422132129,0.09176500579271196
4.5,30.72458129,0.4052194417275215,0.09349690092752147,0.3108585245927126
4.75,30.51913356,0.19972591723372138,0.09542949203372167,0.10343240899271226
5.0,30.30607666,-0.013376777260080765,0.07067924193992176,-0.08492003540728997
5.25,30.55083846,0.23133922824612488,0.07459021864612175,0.15588499339271567
5.5,30.09175156,-0.22779346624767835,0.051666170552322005,-0.2803236530072878
5.75,30.01312341,-0.30646741074147904,0.03406854525852231,-0.3413999722072888
6.0,30.30354027,-0.01609634523527911,0.02129006436472259,-0.03825042580728915
6.25,30.39485037,0.07516796027092501,0.006330286270922648,0.06797365779271491
6.5,30.70555836,0.38583015577712537,-0.0048756318228770894,0.38984177139271503
6.75,30.74614062,0.426366621283322,-0.009284019916676777,0.4347866249927113
7.0,30.08160599,-0.23821380321047722,-0.012677851210476454,-0.22639996820728822
7.25,30.17798887,-0.14187671770427765,-0.0195719033042763,-0.1231688306072888
7.5,30.13740661,-0.18250477219807545,-0.023067190198076102,-0.16030159820728682
7.75,30.16530692,-0.15465025669187635,-0.04918709149187586,-0.10632718140728793
8.0,30.02453717,-0.2954658011856774,-0.06582088798567562,-0.23050892940728923
8.25,30.04102372,-0.2790250456794782,-0.07012782087947537,-0.2097612410072903
8.5,30.06765583,-0.25243873017327395,-0.08660943377327536,-0.16669331260728606
8.75,30.05116929,-0.2689710646670735,-0.08274918506707502,-0.18708589580728593
9.0,30.15516135,-0.16502479916087462,-0.07026520436087474,-0.09562361100728732
9.25,30.23378949,-0.08644245365467593,-0.07066609405467442,-0.016640375807288964
9.5,30.28198094,-0.03829679814847206,-0.0717264453484743,0.03256563099271479
9.75,30.36441367,0.04409013735772807,-0.08551948304227419,0.1287456041927148
