"ITO_unprocesesd_1.spc - RawData"
"”g’· (nm)","T%"
745.00,75.349
746.00,75.335
747.00,75.280
748.00,75.221
749.00,75.172
750.00,75.156
751.00,75.013
752.00,74.869
753.00,74.729
754.00,74.777
755.00,74.812
756.00,74.811
757.00,74.780
758.00,74.758
759.00,74.630
760.00,74.470
761.00,74.332
762.00,74.384
763.00,74.466
764.00,74.542
765.00,74.620
766.00,74.682
767.00,74.611
768.00,74.497
769.00,74.406
770.00,74.418
771.00,74.443
772.00,74.484
773.00,74.588
774.00,74.498
775.00,74.397
776.00,74.275
777.00,74.284
778.00,74.300
779.00,74.300
780.00,74.159
781.00,74.025
782.00,73.890
783.00,73.967
784.00,74.032
785.00,74.115
786.00,74.195
787.00,74.104
788.00,73.988
789.00,73.854
790.00,73.839
791.00,73.841
792.00,73.863
793.00,73.765
794.00,73.654
795.00,73.493
796.00,73.489
797.00,73.493
798.00,73.479
799.00,73.305
800.00,73.129
