"ITO_100PER_true1.spc - RawData"
"”g’· (nm)","T%"
745.00,64.310
746.00,64.325
747.00,64.350
748.00,64.392
749.00,64.443
750.00,64.506
751.00,64.570
752.00,64.604
753.00,64.616
754.00,64.656
755.00,64.718
756.00,64.800
757.00,64.851
758.00,64.868
759.00,64.901
760.00,64.931
761.00,64.978
762.00,65.002
763.00,65.047
764.00,65.078
765.00,65.119
766.00,65.119
767.00,65.164
768.00,65.176
769.00,65.252
770.00,65.265
771.00,65.323
772.00,65.355
773.00,65.395
774.00,65.394
775.00,65.409
776.00,65.438
777.00,65.484
778.00,65.500
779.00,65.535
780.00,65.574
781.00,65.626
782.00,65.652
783.00,65.656
784.00,65.675
785.00,65.718
786.00,65.753
787.00,65.779
788.00,65.803
789.00,65.866
790.00,65.915
791.00,65.947
792.00,65.944
793.00,65.954
794.00,65.965
795.00,66.004
796.00,66.031
797.00,66.049
798.00,66.047
799.00,66.059
800.00,66.078
