"ITO_080PER_4.spc - RawData"
"”g’· (nm)","T%"
350.00,31.045
351.00,31.509
352.00,32.204
353.00,32.875
354.00,33.522
355.00,34.121
356.00,34.686
357.00,35.236
358.00,35.757
359.00,36.256
360.00,36.719
361.00,37.168
362.00,37.601
363.00,38.020
364.00,38.414
365.00,38.758
366.00,39.078
367.00,39.373
368.00,39.668
369.00,39.931
370.00,40.171
371.00,40.380
372.00,40.524
373.00,40.651
374.00,40.753
375.00,40.891
376.00,41.020
377.00,41.146
378.00,41.274
379.00,41.382
380.00,41.508
381.00,41.631
382.00,41.781
383.00,41.957
384.00,42.156
385.00,42.354
386.00,42.528
387.00,42.697
388.00,42.867
389.00,43.035
390.00,43.190
391.00,43.348
392.00,43.528
393.00,43.702
394.00,43.872
395.00,44.018
396.00,44.182
397.00,44.346
398.00,44.511
399.00,44.663
400.00,44.821
401.00,44.984
402.00,45.147
403.00,45.312
404.00,45.454
405.00,45.596
406.00,45.721
407.00,45.863
408.00,46.001
409.00,46.148
410.00,46.293
411.00,46.439
412.00,46.586
413.00,46.733
414.00,46.882
415.00,47.019
416.00,47.139
417.00,47.249
418.00,47.360
419.00,47.470
420.00,47.599
421.00,47.720
422.00,47.837
423.00,47.947
424.00,48.057
425.00,48.183
426.00,48.273
427.00,48.382
428.00,48.510
429.00,48.662
430.00,48.812
431.00,48.962
432.00,49.136
433.00,49.318
434.00,49.517
435.00,49.728
436.00,49.955
437.00,50.150
438.00,50.336
439.00,50.508
440.00,50.708
441.00,50.918
442.00,51.125
443.00,51.307
444.00,51.503
445.00,51.717
446.00,51.938
447.00,52.158
448.00,52.377
449.00,52.611
450.00,52.838
451.00,53.073
452.00,53.311
453.00,53.543
454.00,53.772
455.00,53.980
456.00,54.203
457.00,54.397
458.00,54.612
459.00,54.782
460.00,54.946
461.00,55.084
462.00,55.218
463.00,55.351
464.00,55.454
465.00,55.559
466.00,55.649
467.00,55.760
468.00,55.854
469.00,55.956
470.00,56.061
471.00,56.166
472.00,56.267
473.00,56.357
474.00,56.463
475.00,56.576
476.00,56.703
477.00,56.823
478.00,56.943
479.00,57.083
480.00,57.239
481.00,57.423
482.00,57.601
483.00,57.788
484.00,57.983
485.00,58.183
486.00,58.399
487.00,58.613
488.00,58.842
489.00,59.063
490.00,59.280
491.00,59.495
492.00,59.699
493.00,59.909
494.00,60.079
495.00,60.263
496.00,60.416
497.00,60.573
498.00,60.707
499.00,60.846
500.00,60.974
501.00,61.092
502.00,61.216
503.00,61.350
504.00,61.474
505.00,61.580
506.00,61.666
507.00,61.762
508.00,61.862
509.00,61.948
510.00,62.029
511.00,62.116
512.00,62.199
513.00,62.280
514.00,62.333
515.00,62.391
516.00,62.451
517.00,62.519
518.00,62.603
519.00,62.664
520.00,62.734
521.00,62.797
522.00,62.863
523.00,62.909
524.00,62.960
525.00,63.034
526.00,63.125
527.00,63.216
528.00,63.288
529.00,63.345
530.00,63.396
531.00,63.477
532.00,63.564
533.00,63.656
534.00,63.726
535.00,63.790
536.00,63.823
537.00,63.880
538.00,63.919
539.00,63.997
540.00,64.054
541.00,64.140
542.00,64.213
543.00,64.263
544.00,64.312
545.00,64.360
546.00,64.429
547.00,64.491
548.00,64.539
549.00,64.585
550.00,64.618
551.00,64.655
552.00,64.703
553.00,64.752
554.00,64.792
555.00,64.818
556.00,64.850
557.00,64.900
558.00,64.934
559.00,64.986
560.00,65.037
561.00,65.075
562.00,65.088
563.00,65.096
564.00,65.124
565.00,65.130
566.00,65.118
567.00,65.078
568.00,65.028
569.00,64.959
570.00,64.904
571.00,64.878
572.00,64.868
573.00,64.855
574.00,64.850
575.00,64.876
576.00,64.923
577.00,65.001
578.00,65.107
579.00,65.259
580.00,65.415
581.00,65.580
582.00,65.772
583.00,65.983
584.00,66.189
585.00,66.387
586.00,66.588
587.00,66.821
588.00,67.028
589.00,67.218
590.00,67.376
591.00,67.551
592.00,67.704
593.00,67.857
594.00,67.965
595.00,68.078
596.00,68.168
597.00,68.254
598.00,68.337
599.00,68.419
600.00,68.493
601.00,68.571
602.00,68.612
603.00,68.676
604.00,68.730
605.00,68.833
606.00,68.935
607.00,69.038
608.00,69.144
609.00,69.256
610.00,69.407
611.00,69.544
612.00,69.681
613.00,69.797
614.00,69.926
615.00,70.055
616.00,70.163
617.00,70.238
618.00,70.310
619.00,70.374
620.00,70.433
621.00,70.471
622.00,70.493
623.00,70.496
624.00,70.468
625.00,70.448
626.00,70.412
627.00,70.397
628.00,70.355
629.00,70.315
630.00,70.233
631.00,70.164
632.00,70.082
633.00,69.988
634.00,69.876
635.00,69.778
636.00,69.693
637.00,69.623
638.00,69.540
639.00,69.489
640.00,69.452
641.00,69.446
642.00,69.469
643.00,69.504
644.00,69.554
645.00,69.599
646.00,69.642
647.00,69.715
648.00,69.787
649.00,69.865
650.00,69.938
651.00,70.024
652.00,70.106
653.00,70.158
654.00,70.196
655.00,70.231
656.00,70.272
657.00,70.303
658.00,70.334
659.00,70.335
660.00,70.335
661.00,70.296
662.00,70.279
663.00,70.232
664.00,70.200
665.00,70.169
666.00,70.152
667.00,70.172
668.00,70.213
669.00,70.264
670.00,70.281
671.00,70.290
672.00,70.325
673.00,70.397
674.00,70.464
675.00,70.521
676.00,70.588
677.00,70.651
678.00,70.713
679.00,70.761
680.00,70.823
681.00,70.890
682.00,70.964
683.00,71.026
684.00,71.078
685.00,71.120
686.00,71.146
687.00,71.170
688.00,71.201
689.00,71.243
690.00,71.276
691.00,71.269
692.00,71.160
693.00,71.018
694.00,70.851
695.00,70.758
696.00,70.675
697.00,70.636
698.00,70.604
699.00,70.612
700.00,70.656
701.00,70.746
702.00,70.875
703.00,71.031
704.00,71.171
705.00,71.286
706.00,71.338
707.00,71.368
708.00,71.329
709.00,71.267
710.00,71.184
711.00,71.128
712.00,71.048
713.00,70.976
714.00,70.900
715.00,70.872
716.00,70.827
717.00,70.794
718.00,70.746
719.00,70.740
720.00,70.701
721.00,70.671
722.00,70.637
723.00,70.616
724.00,70.601
725.00,70.569
726.00,70.577
727.00,70.561
728.00,70.565
729.00,70.551
730.00,70.548
731.00,70.520
732.00,70.506
733.00,70.506
734.00,70.507
735.00,70.480
736.00,70.458
737.00,70.418
738.00,70.401
739.00,70.376
740.00,70.408
741.00,70.425
742.00,70.433
743.00,70.432
744.00,70.423
745.00,70.397
746.00,70.370
747.00,70.355
748.00,70.351
749.00,70.349
750.00,70.360
751.00,70.351
752.00,70.348
753.00,70.310
754.00,70.323
755.00,70.343
756.00,70.365
757.00,70.355
758.00,70.311
759.00,70.310
760.00,70.313
761.00,70.296
762.00,70.287
763.00,70.268
764.00,70.277
765.00,70.243
766.00,70.221
767.00,70.210
768.00,70.205
769.00,70.218
770.00,70.196
771.00,70.211
772.00,70.219
773.00,70.231
774.00,70.206
775.00,70.180
776.00,70.166
777.00,70.171
778.00,70.186
779.00,70.203
780.00,70.207
781.00,70.189
782.00,70.176
783.00,70.154
784.00,70.150
785.00,70.160
786.00,70.178
787.00,70.191
788.00,70.167
789.00,70.160
790.00,70.161
791.00,70.163
792.00,70.153
793.00,70.146
794.00,70.170
795.00,70.190
796.00,70.195
797.00,70.162
798.00,70.132
799.00,70.138
800.00,70.173
