"ITO_030PER_5.spc - RawData"
"”g’· (nm)","T%"
745.00,88.874
746.00,88.818
747.00,88.802
748.00,88.764
749.00,88.728
750.00,88.710
751.00,88.665
752.00,88.593
753.00,88.502
754.00,88.490
755.00,88.511
756.00,88.500
757.00,88.506
758.00,88.454
759.00,88.400
760.00,88.329
761.00,88.276
762.00,88.276
763.00,88.261
764.00,88.278
765.00,88.279
766.00,88.304
767.00,88.259
768.00,88.219
769.00,88.197
770.00,88.182
771.00,88.197
772.00,88.212
773.00,88.246
774.00,88.181
775.00,88.104
776.00,88.046
777.00,88.053
778.00,88.055
779.00,88.055
780.00,87.995
781.00,87.945
782.00,87.887
783.00,87.909
784.00,87.932
785.00,87.968
786.00,87.973
787.00,87.933
788.00,87.890
789.00,87.865
790.00,87.855
791.00,87.851
792.00,87.852
793.00,87.834
794.00,87.810
795.00,87.765
796.00,87.766
797.00,87.733
798.00,87.706
799.00,87.639
800.00,87.610
