Time[s],Y
0,31811062.87925941
1,31811062.2546554
2,31811068.069640573
3,31811071.106481925
4,31811070.29567736
5,31811070.024318594
6,31811068.921773784
7,31811068.89772176
8,31811068.23190145
9,31811068.884280916
10,31811069.119250063
11,31811071.596374832
12,31811070.1004052
13,31811070.735327456
14,31811070.192189794
15,31811071.83043384
16,31811072.357092924
17,31811070.146003436
18,31811072.103290744
19,31811074.094420206
20,31811069.39139068
21,31811067.587867677
22,31811074.064248875
23,31811075.800188035
24,31811076.93373805
25,31811075.57704665
26,31811076.271694552
27,31811076.271348316
28,31811075.603417832
29,31811077.02856934
30,31811057.469364252
31,31810925.176923692
32,31810872.361486558
33,31810855.789916284
34,31810849.34761393
35,31810846.136177186
36,31810843.131974723
37,31810842.37557663
38,31810839.605725322
39,31810838.17608291
40,31810836.67001488
41,31810835.615133982
42,31810834.250008095
43,31810834.85099313
44,31810834.175632015
45,31810834.247280646
46,31810832.74735438
47,31810833.002214663
48,31810831.675463952
49,31810831.073590185
50,31810830.434071902
51,31810830.03571393
52,31810831.620723013
53,31810831.24935134
54,31810828.979782484
55,31810828.935810775
56,31810828.91382094
57,31810827.822992995
58,31810828.75554823
59,31810828.90931697
60,31810843.298481904
61,31810980.50004131
62,31811045.032537118
63,31811056.67089809
64,31811060.391155414
65,31811063.458147414
66,31811065.43570666
67,31811068.0489768
68,31811069.960917763
69,31811070.269097116
70,31811071.502415746
71,31811070.93334394
72,31811070.252815586
73,31811071.921793558
74,31811073.564635634
75,31811076.828810643
76,31811075.692571748
77,31811075.61122104
78,31811078.658273082
79,31811080.2267579
80,31811081.282382645
81,31811082.289321356
82,31811083.593673635
83,31811084.21738414
84,31811085.097016543
85,31811083.67962405
86,31811082.56827077
87,31811083.176142212
88,31811084.83992794
89,31811087.56250803
90,31811049.349154353
