"ITO_unprocesesd_2nd_3.spc - RawData"
"”g’· (nm)","T%"
745.00,84.697
746.00,84.668
747.00,84.629
748.00,84.604
749.00,84.586
750.00,84.593
751.00,84.557
752.00,84.497
753.00,84.413
754.00,84.430
755.00,84.432
756.00,84.431
757.00,84.424
758.00,84.403
759.00,84.368
760.00,84.309
761.00,84.278
762.00,84.282
763.00,84.312
764.00,84.345
765.00,84.361
766.00,84.357
767.00,84.302
768.00,84.259
769.00,84.224
770.00,84.186
771.00,84.200
772.00,84.195
773.00,84.247
774.00,84.185
775.00,84.144
776.00,84.089
777.00,84.100
778.00,84.103
779.00,84.097
780.00,84.028
781.00,83.974
782.00,83.930
783.00,83.958
784.00,83.948
785.00,83.960
786.00,83.978
787.00,83.924
788.00,83.864
789.00,83.802
790.00,83.806
791.00,83.806
792.00,83.805
793.00,83.795
794.00,83.742
795.00,83.675
796.00,83.638
797.00,83.598
798.00,83.547
799.00,83.455
800.00,83.404
