"ITO_unprocesesd_6.spc - RawData"
"”g’· (nm)","T%"
745.00,70.736
746.00,70.705
747.00,70.692
748.00,70.669
749.00,70.664
750.00,70.686
751.00,70.696
752.00,70.708
753.00,70.690
754.00,70.703
755.00,70.696
756.00,70.702
757.00,70.704
758.00,70.682
759.00,70.684
760.00,70.670
761.00,70.656
762.00,70.646
763.00,70.641
764.00,70.620
765.00,70.583
766.00,70.537
767.00,70.545
768.00,70.543
769.00,70.559
770.00,70.540
771.00,70.518
772.00,70.491
773.00,70.462
774.00,70.443
775.00,70.430
776.00,70.442
777.00,70.433
778.00,70.407
779.00,70.396
780.00,70.388
781.00,70.392
782.00,70.365
783.00,70.316
784.00,70.300
785.00,70.280
786.00,70.270
787.00,70.266
788.00,70.263
789.00,70.275
790.00,70.256
791.00,70.242
792.00,70.202
793.00,70.182
794.00,70.182
795.00,70.220
796.00,70.210
797.00,70.178
798.00,70.113
799.00,70.085
800.00,70.075
