Overlap Count,Percentage (%)
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.884505671892621
17,0.0
18,6.050018795745528
19,41.6779072595803
20,26.358269022400105
21,24.936426154832716
22,0.0928730955487252
