"ITO_unprocesesd_3.spc - RawData"
"”g’· (nm)","T%"
745.00,83.494
746.00,83.475
747.00,83.439
748.00,83.415
749.00,83.374
750.00,83.354
751.00,83.235
752.00,83.127
753.00,83.038
754.00,83.078
755.00,83.115
756.00,83.106
757.00,83.087
758.00,83.064
759.00,82.961
760.00,82.854
761.00,82.782
762.00,82.848
763.00,82.897
764.00,82.944
765.00,82.958
766.00,83.015
767.00,82.964
768.00,82.889
769.00,82.802
770.00,82.802
771.00,82.837
772.00,82.875
773.00,82.939
774.00,82.870
775.00,82.782
776.00,82.690
777.00,82.713
778.00,82.733
779.00,82.749
780.00,82.639
781.00,82.536
782.00,82.431
783.00,82.459
784.00,82.513
785.00,82.554
786.00,82.626
787.00,82.571
788.00,82.499
789.00,82.395
790.00,82.359
791.00,82.356
792.00,82.378
793.00,82.320
794.00,82.232
795.00,82.113
796.00,82.101
797.00,82.096
798.00,82.021
799.00,81.890
800.00,81.778
