Class,Amp
1,83.38333333
2,77.84666667
3,80.94333333
4,79.5
5,79.99333333
6,78.22666667
7,78.57333333
8,80.88333333
9,86.29666667
10,92.35333333
11,97.27333333
12,106.59
13,110.8633333
14,108.51
15,141.8833333
16,149.2433333
17,160.97
18,185.2333333
19,201.9
20,225.2666667
21,244.8066667
22,274.5966667
23,306.5866667
24,350.7266667
25,370.6333333
26,410.9566667
27,456.31
28,490.51
29,529.9066667
30,583.4166667
31,622.9333333
32,670.5833333
33,717.2066667
34,770.3
35,817.6166667
36,865.43
37,915.0066667
38,959.6833333
39,1014.196667
40,1058.353333
41,1115.073333
42,1157.426667
43,1212.45
44,1266.733333
45,1310.093333
46,1362.96
47,1415.776667
48,1465.16
49,1510.336667
50,1562.333333
51,1614.383333
52,1659.386667
53,1708.27
54,1760.31
55,1805.966667
56,1849.463333
57,1893.86
58,1940.343333
59,1979.45
60,2022.556667
61,2063.763333
62,2101.886667
63,2140.233333
64,2170.046667
65,2200.883333
66,2231.386667
67,2262.976667
68,2294.76
69,2314.493333
70,2335.796667
71,2357.646667
72,2378.213333
73,2400.393333
74,2421.356667
75,2437.343333
76,2446.98
77,2460.033333
78,2472.873333
79,2485.56
80,2498.81
81,2515.516667
82,2525.183333
83,2534.346667
84,2540.733333
85,2548.89
86,2560.973333
87,2557.996667
88,2563.513333
89,2569.376667
90,2570.043333
91,2574.406667
92,2565.72
93,2562.48
94,2561.54
95,2559.786667
96,2557.503333
97,2551.953333
98,2559.77
99,2562.803333
100,2564.15
101,2570.59
102,2578.42
103,2593.05
104,2609.3
105,2622.68
106,2644.57
107,2663.03
108,2693.63
109,2711.906667
110,2738.173333
111,2761.303333
112,2788.016667
113,2807.126667
114,2822.28
115,2839.596667
116,2848.593333
117,2864.223333
118,2856.176667
119,2860.19
120,2859.99
121,2853.756667
122,2839.45
123,2829.483333
124,2810.453333
125,2792.743333
126,2769.103333
127,2742.956667
128,2715.826667
129,2684.63
130,2651.626667
131,2620.096667
132,2580.97
133,2544.286667
134,2503.503333
135,2458.523333
136,2414.103333
137,2364.763333
138,2317.41
139,2262.163333
140,2205.73
141,2152.453333
142,2086.033333
143,2019.51
144,1955.73
145,1886.103333
146,1816.173333
147,1739.816667
148,1663.546667
149,1579.993333
150,1493.283333
151,1405.203333
152,1309.623333
153,1218.68
154,1107.886667
155,1002.9
156,900.6533333
157,782.1066667
158,659.9966667
159,535.2033333
160,405.0633333
161,220.7766667
162,71.85666667
163,108.3533333
164,105.0966667
165,107.2166667
166,108.3466667
167,107.5366667
168,105.1033333
169,109.6666667
170,109.1833333
171,112.5966667
172,110.8
173,115.85
174,114.53
175,120.9066667
176,119.0933333
177,126.0966667
178,127.06
179,129.82
180,132.7766667
181,134.4
182,140.5966667
183,144.8466667
184,149.58
185,153.3366667
186,157.42
187,160.2
188,166.24
189,179.1433333
190,183.5533333
191,183.7166667
192,195.6366667
193,199.8666667
194,205.23
195,212.73
196,220.87
197,229.6666667
198,237.5
199,245.96
200,259.5033333
201,267.98
202,277.5966667
203,286.2533333
204,296.68
205,310.3933333
206,321.4933333
207,331.62
208,343.5266667
209,351.99
210,368.3033333
211,383.13
212,391.9233333
213,408.7033333
214,419.9333333
215,430.54
216,446.8466667
217,460.38
218,472.5866667
219,488.08
220,492.8066667
221,509.78
222,528.2
223,542.87
224,559.5366667
225,571.92
226,586.92
227,606.0266667
228,628.3533333
229,644.0366667
230,663.6066667
231,681.6066667
232,701.35
233,724.5033333
234,743.8766667
235,763.16
236,785.32
237,805.5233333
238,828.0533333
239,848.15
240,865.3033333
241,890.5833333
242,918.9366667
243,942.76
244,956.4966667
245,987.5066667
246,1005.1
247,1033.773333
248,1062.98
249,1089.71
250,1123.286667
251,1159.006667
252,1199.95
253,1234.666667
254,1272.28
255,1312.19
256,1352.02
257,1385.41
258,1421.99
259,1453.286667
260,1486.593333
261,1514.98
262,1546.97
263,1571.526667
264,1600.103333
265,1628.79
266,1661.373333
267,1688.48
268,1727.57
269,1758.12
270,1797.096667
271,1827.886667
272,1871.603333
273,1911.053333
274,1947.24
275,1989.5
276,2020.656667
277,2055.056667
278,2079.21
279,2107.1
280,2125.303333
281,2137.08
282,2142.966667
283,2144.426667
284,2136.913333
285,2128.293333
286,2103.126667
287,2087.54
288,2061.593333
289,2029.136667
290,2006.81
291,1973.03
292,1938.74
293,1901.873333
294,1866.096667
295,1831.533333
296,1795.796667
297,1753.73
298,1721.27
299,1676.7
300,1632.706667
301,1589.203333
302,1533.616667
303,1478.923333
304,1414.196667
305,1350.963333
306,1285.743333
307,1211.053333
308,1144.99
309,1077.443333
310,1006.796667
311,929.9933333
312,859.38
313,796.62
314,734.46
315,669.99
316,610.5966667
317,549.6666667
318,488.7266667
319,425.9866667
320,370.6633333
321,281.8066667
