target,fold,sample_index,y_true,y_pred,abs_error
Degree_of_roasting,1,34,7.7,7.7090295915882905,0.009029591588290309
Degree_of_roasting,1,35,7.7,7.7090295915882905,0.009029591588290309
Degree_of_roasting,1,36,7.7,7.7090295915882905,0.009029591588290309
Degree_of_roasting,1,37,7.7,7.7090295915882905,0.009029591588290309
Degree_of_roasting,1,38,7.7,7.7090295915882905,0.009029591588290309
Degree_of_roasting,1,39,7.7,7.7090295915882905,0.009029591588290309
Degree_of_roasting,1,40,7.7,7.7090295915882905,0.009029591588290309
Degree_of_roasting,1,41,7.7,7.7090295915882905,0.009029591588290309
Degree_of_roasting,1,42,7.7,7.7090295915882905,0.009029591588290309
Degree_of_roasting,1,43,7.7,7.918110684550747,0.218110684550747
Degree_of_roasting,1,44,7.7,7.918110684550747,0.218110684550747
Degree_of_roasting,1,45,7.7,7.918110684550747,0.218110684550747
Degree_of_roasting,2,12,8.0,8.01210688961941,0.01210688961941031
Degree_of_roasting,2,13,8.0,8.01210688961941,0.01210688961941031
Degree_of_roasting,2,14,8.0,8.01210688961941,0.01210688961941031
Degree_of_roasting,2,15,8.0,8.03840599727343,0.03840599727342919
Degree_of_roasting,2,16,8.0,8.01210688961941,0.01210688961941031
Degree_of_roasting,2,17,8.0,8.01210688961941,0.01210688961941031
Degree_of_roasting,2,18,8.0,8.01210688961941,0.01210688961941031
Degree_of_roasting,2,19,8.0,8.01210688961941,0.01210688961941031
Degree_of_roasting,2,20,8.0,8.01210688961941,0.01210688961941031
Degree_of_roasting,2,21,8.0,8.01210688961941,0.01210688961941031
Degree_of_roasting,2,22,8.0,8.01210688961941,0.01210688961941031
Degree_of_roasting,2,23,8.0,8.01210688961941,0.01210688961941031
Degree_of_roasting,3,0,8.3,7.809234788889221,0.4907652111107801
Degree_of_roasting,3,1,8.3,7.809234788889221,0.4907652111107801
Degree_of_roasting,3,2,8.3,7.809234788889221,0.4907652111107801
Degree_of_roasting,3,3,8.3,7.809234788889221,0.4907652111107801
Degree_of_roasting,3,4,8.3,7.809234788889221,0.4907652111107801
Degree_of_roasting,3,5,8.3,7.809234788889221,0.4907652111107801
Degree_of_roasting,3,6,8.3,7.809234788889221,0.4907652111107801
Degree_of_roasting,3,7,8.3,7.809234788889221,0.4907652111107801
Degree_of_roasting,3,8,8.3,7.809234788889221,0.4907652111107801
Degree_of_roasting,3,9,8.3,7.809234788889221,0.4907652111107801
Degree_of_roasting,3,10,8.3,7.809234788889221,0.4907652111107801
Degree_of_roasting,3,11,8.3,7.809234788889221,0.4907652111107801
Degree_of_roasting,4,24,7.7,8.216611275365148,0.5166112753651477
Degree_of_roasting,4,25,7.7,8.216611275365148,0.5166112753651477
Degree_of_roasting,4,26,7.7,8.216611269603243,0.516611269603243
Degree_of_roasting,4,27,7.7,8.216611275365148,0.5166112753651477
Degree_of_roasting,4,28,7.7,8.216611275365148,0.5166112753651477
Degree_of_roasting,4,29,7.7,8.216611275365148,0.5166112753651477
Degree_of_roasting,4,30,7.7,8.216611275365148,0.5166112753651477
Degree_of_roasting,4,31,7.7,8.216611275365148,0.5166112753651477
Degree_of_roasting,4,32,7.7,8.216611275365148,0.5166112753651477
Degree_of_roasting,4,33,7.7,8.216611275365148,0.5166112753651477
Acid_taste,1,34,8.0,7.291246620549168,0.7087533794508323
Acid_taste,1,35,8.0,7.291246620549168,0.7087533794508323
Acid_taste,1,36,8.0,7.291246620549168,0.7087533794508323
Acid_taste,1,37,8.0,7.294811054271396,0.7051889457286036
Acid_taste,1,38,8.0,7.291246620549168,0.7087533794508323
Acid_taste,1,39,8.0,7.291246620549168,0.7087533794508323
Acid_taste,1,40,8.0,7.291246620549168,0.7087533794508323
Acid_taste,1,41,8.0,7.291246620549168,0.7087533794508323
Acid_taste,1,42,8.0,7.291246620549168,0.7087533794508323
Acid_taste,1,43,8.0,7.170019098318686,0.8299809016813144
Acid_taste,1,44,8.0,7.170019098318686,0.8299809016813144
Acid_taste,1,45,8.0,7.170019098318686,0.8299809016813144
Acid_taste,2,12,7.0,6.6310378256241265,0.36896217437587353
Acid_taste,2,13,7.0,6.429781582174421,0.5702184178255791
Acid_taste,2,14,7.0,6.6310378256241265,0.36896217437587353
Acid_taste,2,15,7.0,6.497353117282257,0.5026468827177428
Acid_taste,2,16,7.0,6.6310378256241265,0.36896217437587353
Acid_taste,2,17,7.0,6.6310378256241265,0.36896217437587353
Acid_taste,2,18,7.0,6.631037831197036,0.3689621688029643
Acid_taste,2,19,7.0,6.6310378256241265,0.36896217437587353
Acid_taste,2,20,7.0,6.6310378256241265,0.36896217437587353
Acid_taste,2,21,7.0,6.6310378256241265,0.36896217437587353
Acid_taste,2,22,7.0,6.6310378256241265,0.36896217437587353
Acid_taste,2,23,7.0,6.6310378256241265,0.36896217437587353
Acid_taste,3,0,5.7,7.069792225612491,1.3697922256124908
Acid_taste,3,1,5.7,7.069792225612491,1.3697922256124908
Acid_taste,3,2,5.7,7.069792225612491,1.3697922256124908
Acid_taste,3,3,5.7,7.275530560524099,1.5755305605240988
Acid_taste,3,4,5.7,7.069792225612491,1.3697922256124908
Acid_taste,3,5,5.7,7.069792225612491,1.3697922256124908
Acid_taste,3,6,5.7,7.069792225612491,1.3697922256124908
Acid_taste,3,7,5.7,7.07573089664061,1.3757308966406097
Acid_taste,3,8,5.7,7.040872624071947,1.340872624071947
Acid_taste,3,9,5.7,7.07573089664061,1.3757308966406097
Acid_taste,3,10,5.7,7.0697649699449565,1.3697649699449563
Acid_taste,3,11,5.7,7.040947655664891,1.3409476556648912
