target,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std
Degree_of_roasting,0.27801409779419356,0.22495071499275668,0.2780303092550558,0.22495892878689822
Acid_taste,0.9967541822691997,0.4388716437366427,0.9984694885643218,0.4377736011435295
Bitter_taste,0.27801409779419356,0.22495071499275668,0.2780303092550558,0.22495892878689822
Astrigency_mouthfeel,0.48522048257650063,0.24318481239508002,0.4889417805949591,0.24068102160314334
Cup_strength,0.19850339281241028,0.1187188518864787,0.19850354020533548,0.11871887317527376
Body,0.2747653819626634,0.13436232196077066,0.27700765736616967,0.13512649744796143
Aromatic_impact,1.5635633761397603,0.8241666673303536,1.564567247511785,0.8237752804184717
Floral,2.0795063249738126,1.3009893848848095,2.082813052345604,1.2981391014837538
Earthy,0.5530939991521502,0.37077442576197317,0.5531078583574949,0.37077954565435506
Tarry,0.4893837712975292,0.3810112875724745,0.48943855477633313,0.3810382343742884
Nutty,1.9835142885964752,1.186972470378309,1.983525145891591,1.1869739973052704
Pruney,2.275138406318501,1.3991349835681821,2.27719624308208,1.3976699179618894
