Time[s],Y
0,31846638.43305577
1,31846651.00041708
2,31846650.047252193
3,31846648.74417017
4,31846650.942581844
5,31846655.27021519
6,31846657.096603524
7,31846653.194120064
8,31846648.935803887
9,31846641.76009127
10,31846641.968686514
11,31846649.028201632
12,31846652.961978275
13,31846653.519133992
14,31846656.722035337
15,31846660.69324243
16,31846658.584090773
17,31846658.894532338
18,31846656.85121939
19,31846660.90029951
20,31846658.46146299
21,31846661.73286976
22,31846664.573612086
23,31846659.47994681
24,31846657.202291995
25,31846657.016429517
26,31846661.962792832
27,31846655.627212107
28,31846647.04027254
29,31846645.63392449
30,31846594.234864127
31,31846402.352721933
32,31846341.00246568
33,31846322.612913523
34,31846316.15063038
35,31846311.694301553
36,31846307.47240803
37,31846305.707910247
38,31846302.004681848
39,31846301.270225506
40,31846298.708055254
41,31846297.938409537
42,31846296.013998635
43,31846294.30930229
44,31846296.060914125
45,31846292.144669693
46,31846293.047154788
47,31846291.947861772
48,31846290.24523706
49,31846290.18984587
50,31846291.350050297
51,31846290.208651695
52,31846288.212576743
53,31846290.56975869
54,31846287.788746875
55,31846286.275991075
56,31846286.264775306
57,31846287.579471953
58,31846286.345076274
59,31846284.49576443
60,31846315.358047217
61,31846526.48820926
62,31846610.014733214
63,31846625.43228524
64,31846633.69973978
65,31846636.29858009
66,31846635.358527344
67,31846637.037148435
68,31846637.554388747
69,31846641.47580581
70,31846631.325610977
71,31846631.808973987
72,31846629.52317693
73,31846631.682072647
74,31846638.244546525
75,31846647.386851
76,31846647.873149134
77,31846648.639090315
78,31846647.280039474
79,31846645.429222997
80,31846645.98525536
81,31846651.20078152
82,31846651.196319748
83,31846648.89684018
84,31846649.68025383
85,31846650.7925784
86,31846651.06987994
87,31846651.552037857
88,31846653.01030718
89,31846654.894495584
90,31846690.07799679
