380.00,2.068
380.50,2.062
381.00,2.058
381.50,2.051
382.00,2.040
382.50,2.029
383.00,2.020
383.50,2.011
384.00,2.002
384.50,1.996
385.00,1.988
385.50,1.980
386.00,1.973
386.50,1.968
387.00,1.962
387.50,1.957
388.00,1.950
388.50,1.944
389.00,1.938
389.50,1.934
390.00,1.926
390.50,1.920
391.00,1.916
391.50,1.912
392.00,1.905
392.50,1.903
393.00,1.900
393.50,1.892
394.00,1.887
394.50,1.883
395.00,1.877
395.50,1.870
396.00,1.868
396.50,1.867
397.00,1.860
397.50,1.859
398.00,1.856
398.50,1.857
399.00,1.854
399.50,1.853
400.00,1.853
400.50,1.851
401.00,1.848
401.50,1.851
402.00,1.852
402.50,1.856
403.00,1.853
403.50,1.854
404.00,1.854
404.50,1.853
405.00,1.854
405.50,1.855
406.00,1.852
406.50,1.849
407.00,1.847
407.50,1.846
408.00,1.846
408.50,1.848
409.00,1.848
409.50,1.846
410.00,1.845
410.50,1.845
411.00,1.842
411.50,1.839
412.00,1.837
412.50,1.837
413.00,1.832
413.50,1.832
414.00,1.831
414.50,1.829
415.00,1.828
415.50,1.829
416.00,1.827
416.50,1.825
417.00,1.823
417.50,1.822
418.00,1.817
418.50,1.814
419.00,1.813
419.50,1.813
420.00,1.811
420.50,1.811
421.00,1.809
421.50,1.808
422.00,1.806
422.50,1.805
423.00,1.804
423.50,1.801
424.00,1.798
424.50,1.797
425.00,1.797
425.50,1.795
426.00,1.794
426.50,1.792
427.00,1.793
427.50,1.792
428.00,1.790
428.50,1.788
429.00,1.785
429.50,1.786
430.00,1.786
430.50,1.785
431.00,1.785
431.50,1.786
432.00,1.785
432.50,1.787
433.00,1.786
433.50,1.786
434.00,1.786
434.50,1.784
435.00,1.784
435.50,1.786
436.00,1.784
436.50,1.783
437.00,1.784
437.50,1.784
438.00,1.785
438.50,1.786
439.00,1.786
439.50,1.786
440.00,1.785
440.50,1.785
441.00,1.786
441.50,1.785
442.00,1.786
442.50,1.786
443.00,1.784
443.50,1.783
444.00,1.783
444.50,1.785
445.00,1.788
445.50,1.789
446.00,1.791
446.50,1.791
447.00,1.791
447.50,1.790
448.00,1.791
448.50,1.793
449.00,1.791
449.50,1.790
450.00,1.789
450.50,1.786
451.00,1.786
451.50,1.788
452.00,1.791
452.50,1.794
453.00,1.793
453.50,1.794
454.00,1.797
454.50,1.798
455.00,1.798
455.50,1.800
456.00,1.801
456.50,1.800
457.00,1.800
457.50,1.799
458.00,1.800
458.50,1.798
459.00,1.799
459.50,1.800
460.00,1.800
460.50,1.802
461.00,1.802
461.50,1.804
462.00,1.805
462.50,1.803
463.00,1.802
463.50,1.804
464.00,1.804
464.50,1.805
465.00,1.803
465.50,1.803
466.00,1.802
466.50,1.804
467.00,1.806
467.50,1.807
468.00,1.808
468.50,1.808
469.00,1.808
469.50,1.806
470.00,1.807
470.50,1.806
471.00,1.803
471.50,1.805
472.00,1.804
472.50,1.802
473.00,1.801
473.50,1.800
474.00,1.802
474.50,1.801
475.00,1.801
475.50,1.801
476.00,1.800
476.50,1.799
477.00,1.799
477.50,1.799
478.00,1.798
478.50,1.795
479.00,1.795
479.50,1.794
480.00,1.792
480.50,1.791
481.00,1.790
481.50,1.789
482.00,1.788
482.50,1.788
483.00,1.787
483.50,1.786
484.00,1.785
484.50,1.785
485.00,1.786
485.50,1.787
486.00,1.787
486.50,1.787
487.00,1.787
487.50,1.789
488.00,1.790
488.50,1.792
489.00,1.793
489.50,1.794
490.00,1.795
490.50,1.798
491.00,1.801
491.50,1.803
492.00,1.805
492.50,1.809
493.00,1.812
493.50,1.814
494.00,1.816
494.50,1.818
495.00,1.818
495.50,1.819
496.00,1.821
496.50,1.820
497.00,1.818
497.50,1.820
498.00,1.821
498.50,1.821
499.00,1.821
499.50,1.821
500.00,1.821
500.50,1.820
501.00,1.820
501.50,1.820
502.00,1.819
502.50,1.817
503.00,1.816
503.50,1.815
504.00,1.815
504.50,1.813
505.00,1.812
505.50,1.810
506.00,1.810
506.50,1.807
507.00,1.807
507.50,1.806
508.00,1.804
508.50,1.801
509.00,1.800
509.50,1.799
510.00,1.797
510.50,1.794
511.00,1.791
511.50,1.788
512.00,1.785
512.50,1.781
513.00,1.780
513.50,1.779
514.00,1.776
514.50,1.774
515.00,1.771
515.50,1.769
516.00,1.767
516.50,1.765
517.00,1.763
517.50,1.758
518.00,1.753
518.50,1.751
519.00,1.748
519.50,1.743
520.00,1.741
520.50,1.736
521.00,1.733
521.50,1.730
522.00,1.728
522.50,1.726
523.00,1.722
523.50,1.719
524.00,1.718
524.50,1.716
525.00,1.714
525.50,1.710
526.00,1.708
526.50,1.706
527.00,1.706
527.50,1.702
528.00,1.699
528.50,1.696
529.00,1.693
529.50,1.690
530.00,1.691
530.50,1.689
531.00,1.687
531.50,1.683
532.00,1.685
532.50,1.685
533.00,1.684
533.50,1.682
534.00,1.681
534.50,1.677
535.00,1.674
535.50,1.670
536.00,1.665
536.50,1.662
537.00,1.660
537.50,1.658
538.00,1.656
538.50,1.655
539.00,1.652
539.50,1.652
540.00,1.651
540.50,1.650
541.00,1.648
541.50,1.644
542.00,1.642
542.50,1.639
543.00,1.635
543.50,1.634
544.00,1.629
544.50,1.626
545.00,1.624
545.50,1.621
546.00,1.619
546.50,1.616
547.00,1.614
547.50,1.611
548.00,1.610
548.50,1.607
549.00,1.604
549.50,1.601
550.00,1.598
550.50,1.593
551.00,1.590
551.50,1.587
552.00,1.584
552.50,1.580
553.00,1.577
553.50,1.577
554.00,1.575
554.50,1.574
555.00,1.573
555.50,1.573
556.00,1.570
556.50,1.568
557.00,1.564
557.50,1.562
558.00,1.557
558.50,1.554
559.00,1.552
559.50,1.548
560.00,1.544
560.50,1.543
561.00,1.541
561.50,1.540
562.00,1.538
562.50,1.537
563.00,1.534
563.50,1.531
564.00,1.531
564.50,1.529
565.00,1.526
565.50,1.525
566.00,1.524
566.50,1.521
567.00,1.517
567.50,1.516
568.00,1.514
568.50,1.512
569.00,1.510
569.50,1.509
570.00,1.507
570.50,1.505
571.00,1.506
571.50,1.506
572.00,1.504
572.50,1.501
573.00,1.499
573.50,1.498
574.00,1.496
574.50,1.493
575.00,1.491
575.50,1.487
576.00,1.486
576.50,1.486
577.00,1.486
577.50,1.485
578.00,1.485
578.50,1.484
579.00,1.484
579.50,1.484
580.00,1.484
580.50,1.482
581.00,1.482
581.50,1.482
582.00,1.480
582.50,1.478
583.00,1.476
583.50,1.477
584.00,1.475
584.50,1.473
585.00,1.474
585.50,1.472
586.00,1.471
586.50,1.472
587.00,1.471
587.50,1.471
588.00,1.468
588.50,1.467
589.00,1.469
589.50,1.466
590.00,1.468
590.50,1.467
591.00,1.465
591.50,1.464
592.00,1.463
592.50,1.465
593.00,1.467
593.50,1.466
594.00,1.465
594.50,1.463
595.00,1.463
595.50,1.462
596.00,1.462
596.50,1.462
597.00,1.460
597.50,1.458
598.00,1.459
598.50,1.460
599.00,1.460
599.50,1.459
600.00,1.459
600.50,1.459
601.00,1.460
601.50,1.461
602.00,1.460
602.50,1.461
603.00,1.461
603.50,1.462
604.00,1.463
604.50,1.462
605.00,1.463
605.50,1.463
606.00,1.465
606.50,1.466
607.00,1.465
607.50,1.466
608.00,1.466
608.50,1.466
609.00,1.466
609.50,1.467
610.00,1.467
610.50,1.467
611.00,1.469
611.50,1.471
612.00,1.471
612.50,1.474
613.00,1.476
613.50,1.477
614.00,1.477
614.50,1.480
615.00,1.482
615.50,1.482
616.00,1.483
616.50,1.485
617.00,1.484
617.50,1.484
618.00,1.487
618.50,1.488
619.00,1.489
619.50,1.490
620.00,1.491
620.50,1.493
621.00,1.497
621.50,1.499
622.00,1.501
622.50,1.503
623.00,1.506
623.50,1.509
624.00,1.511
624.50,1.514
625.00,1.518
625.50,1.520
626.00,1.523
626.50,1.527
627.00,1.531
627.50,1.535
628.00,1.538
628.50,1.544
629.00,1.550
629.50,1.553
630.00,1.556
630.50,1.562
631.00,1.568
631.50,1.573
632.00,1.579
632.50,1.583
633.00,1.588
633.50,1.594
634.00,1.599
634.50,1.606
635.00,1.612
635.50,1.618
636.00,1.627
636.50,1.634
637.00,1.642
637.50,1.651
638.00,1.659
638.50,1.668
639.00,1.678
639.50,1.688
640.00,1.696
640.50,1.705
641.00,1.715
641.50,1.727
642.00,1.739
642.50,1.750
643.00,1.760
643.50,1.772
644.00,1.781
644.50,1.797
645.00,1.810
645.50,1.825
646.00,1.838
646.50,1.849
647.00,1.867
647.50,1.881
648.00,1.899
648.50,1.919
649.00,1.935
649.50,1.955
650.00,1.975
650.50,1.995
651.00,2.017
651.50,2.036
652.00,2.061
652.50,2.084
653.00,2.107
653.50,2.132
654.00,2.157
654.50,2.186
655.00,2.213
655.50,2.243
656.00,2.272
656.50,2.300
657.00,2.330
657.50,2.356
658.00,2.386
658.50,2.414
659.00,2.441
659.50,2.473
660.00,2.503
660.50,2.533
661.00,2.567
661.50,2.598
662.00,2.635
662.50,2.667
663.00,2.702
663.50,2.737
664.00,2.770
664.50,2.809
665.00,2.849
665.50,2.889
666.00,2.932
666.50,2.977
667.00,3.022
667.50,3.074
668.00,3.129
668.50,3.184
669.00,3.238
669.50,3.297
670.00,3.359
670.50,3.420
671.00,3.480
671.50,3.547
672.00,3.609
672.50,3.672
673.00,3.741
673.50,3.812
674.00,3.886
674.50,3.955
675.00,4.027
675.50,4.104
676.00,4.179
676.50,4.255
677.00,4.334
677.50,4.415
678.00,4.496
678.50,4.576
679.00,4.662
679.50,4.755
680.00,4.844
680.50,4.942
681.00,5.043
681.50,5.146
682.00,5.252
682.50,5.361
683.00,5.473
683.50,5.589
684.00,5.707
684.50,5.828
685.00,5.954
685.50,6.084
686.00,6.221
686.50,6.360
687.00,6.504
687.50,6.646
688.00,6.800
688.50,6.965
689.00,7.129
689.50,7.295
690.00,7.470
690.50,7.648
691.00,7.829
691.50,8.017
692.00,8.211
692.50,8.407
693.00,8.601
693.50,8.808
694.00,9.021
694.50,9.243
695.00,9.462
695.50,9.690
696.00,9.927
696.50,10.167
697.00,10.408
697.50,10.660
698.00,10.910
698.50,11.168
699.00,11.428
699.50,11.685
700.00,11.950
700.50,12.215
701.00,12.489
701.50,12.766
702.00,13.045
702.50,13.330
703.00,13.620
703.50,13.902
704.00,14.215
704.50,14.522
705.00,14.836
705.50,15.156
706.00,15.490
706.50,15.808
707.00,16.131
707.50,16.463
708.00,16.807
708.50,17.140
709.00,17.482
709.50,17.827
710.00,18.177
710.50,18.528
711.00,18.902
711.50,19.292
712.00,19.672
712.50,20.051
713.00,20.444
713.50,20.849
714.00,21.256
714.50,21.655
715.00,22.058
715.50,22.465
716.00,22.875
716.50,23.296
717.00,23.723
717.50,24.141
718.00,24.557
718.50,24.975
719.00,25.415
719.50,25.842
720.00,26.249
720.50,26.632
721.00,27.041
721.50,27.448
722.00,27.850
722.50,28.232
723.00,28.636
723.50,29.034
724.00,29.427
724.50,29.829
725.00,30.228
725.50,30.613
726.00,31.002
726.50,31.383
727.00,31.775
727.50,32.166
728.00,32.535
728.50,32.914
729.00,33.298
729.50,33.670
730.00,34.044
730.50,34.410
731.00,34.787
731.50,35.164
732.00,35.536
732.50,35.883
733.00,36.242
733.50,36.627
734.00,36.992
734.50,37.354
735.00,37.711
735.50,38.061
736.00,38.415
736.50,38.776
737.00,39.141
737.50,39.507
738.00,39.872
738.50,40.217
739.00,40.555
739.50,40.905
740.00,41.264
740.50,41.625
741.00,41.978
741.50,42.318
742.00,42.664
742.50,43.015
743.00,43.397
743.50,43.770
744.00,44.081
744.50,44.405
745.00,44.733
745.50,45.057
746.00,45.385
746.50,45.718
747.00,46.027
