Time[s],Y
0,31843779.22999876
1,31843768.52546584
2,31843767.143507086
3,31843770.970659424
4,31843768.524949625
5,31843772.85872147
6,31843776.256795254
7,31843776.503521055
8,31843773.80192791
9,31843777.015316784
10,31843778.975731816
11,31843777.20712827
12,31843774.966222294
13,31843776.598912336
14,31843773.843824007
15,31843775.246274885
16,31843771.2024841
17,31843764.507676225
18,31843767.32721702
19,31843768.53274775
20,31843767.038965084
21,31843771.829941027
22,31843773.80994537
23,31843770.090422075
24,31843770.301424544
25,31843772.654225178
26,31843774.375901327
27,31843773.84024148
28,31843772.537097
29,31843766.310278628
30,31843734.946737494
31,31843603.379351117
32,31843553.94043593
33,31843544.029976968
34,31843539.403797325
35,31843537.726240028
36,31843535.136273585
37,31843534.352879
38,31843532.537103906
39,31843531.275874313
40,31843530.436076887
41,31843530.392199866
42,31843529.821674112
43,31843527.91629715
44,31843527.866171595
45,31843527.179540347
46,31843526.96233126
47,31843525.386195246
48,31843524.636664838
49,31843524.741150983
50,31843525.232167296
51,31843525.1064436
52,31843524.455049735
53,31843523.01985234
54,31843523.21566401
55,31843523.201689214
56,31843523.08153491
57,31843521.87384128
58,31843521.894214164
59,31843520.55983155
60,31843532.715026665
61,31843664.31259811
62,31843733.00596846
63,31843750.35324521
64,31843753.643444575
65,31843753.91778831
66,31843753.811031654
67,31843750.21935245
68,31843752.28703124
69,31843756.758865274
70,31843761.216728006
71,31843762.265974063
72,31843761.249742687
73,31843760.813391116
74,31843765.677637078
75,31843769.500723306
76,31843771.26701152
77,31843771.769637726
78,31843771.909923177
79,31843771.200216062
80,31843771.40105586
81,31843771.023342486
82,31843772.43048343
83,31843772.52460316
84,31843771.17656821
85,31843766.27454698
86,31843761.88651445
87,31843762.834422316
88,31843765.824202005
89,31843766.566177532
90,31843755.431411564
