Time[s],Y
0,31848740.828002714
1,31848739.88535235
2,31848738.986742225
3,31848739.869463675
4,31848740.036917087
5,31848740.867862068
6,31848740.923232973
7,31848741.700529046
8,31848741.093229625
9,31848741.716087237
10,31848740.833587512
11,31848741.0929079
12,31848741.709269505
13,31848740.87270845
14,31848740.943904214
15,31848740.751462482
16,31848739.911968496
17,31848739.037573673
18,31848739.9098895
19,31848739.807369553
20,31848739.248370852
21,31848740.913671613
22,31848741.67376483
23,31848740.142811056
24,31848740.754531436
25,31848740.945624247
26,31848740.941525366
27,31848740.948402643
28,31848740.791970234
29,31848738.73305843
30,31848730.11181092
31,31848702.02542328
32,31848692.778387073
33,31848690.170285705
34,31848689.981397692
35,31848689.287422772
36,31848689.025645144
37,31848688.180936795
38,31848688.11077226
39,31848687.18701792
40,31848687.852201898
41,31848687.280817524
42,31848687.204691295
43,31848686.180306967
44,31848686.031532604
45,31848686.032526646
46,31848686.03292902
47,31848685.96605231
48,31848684.577788617
49,31848685.628003612
50,31848685.258722454
51,31848685.82761764
52,31848686.026958834
53,31848684.400764085
54,31848684.11377221
55,31848684.09802988
56,31848684.098898504
57,31848683.989422124
58,31848684.811514705
59,31848684.40074659
60,31848689.41189593
61,31848720.432565715
62,31848732.03503264
63,31848735.1715014
64,31848735.240233846
65,31848735.7172177
66,31848735.225263096
67,31848734.199756686
68,31848735.46596826
69,31848736.65186026
70,31848737.62239253
71,31848738.079798657
72,31848737.232655685
73,31848736.942940064
74,31848738.3052017
75,31848739.020320345
76,31848739.660577726
77,31848739.30253722
78,31848739.56976713
79,31848739.29586481
80,31848739.000247944
81,31848739.537829887
82,31848739.89581094
83,31848739.23471906
84,31848739.007882264
85,31848737.81569827
86,31848738.14706573
87,31848738.273254085
88,31848738.650079526
89,31848739.012426294
90,31848738.31182778
