Time[s],Y
0,31830679.93356985
1,31830713.220321313
2,31830723.693606455
3,31830725.434611507
4,31830729.790113974
5,31830738.821340982
6,31830739.317693256
7,31830750.45173723
8,31830750.448426872
9,31830757.91676887
10,31830773.451348133
11,31830777.036726557
12,31830771.843499016
13,31830749.32367309
14,31830764.81504325
15,31830772.9573228
16,31830754.247294754
17,31830742.06728065
18,31830758.9772472
19,31830793.023304522
20,31830802.36914665
21,31830810.679418277
22,31830804.281055387
23,31830818.819448996
24,31830811.045175195
25,31830802.568070054
26,31830797.218989097
27,31830803.402473453
28,31830810.852617007
29,31830750.37651386
30,31830467.960949115
31,31829754.979006004
32,31829553.862774443
33,31829505.374271207
34,31829487.06567648
35,31829471.407902163
36,31829460.866435964
37,31829455.682296343
38,31829452.77656893
39,31829448.28907125
40,31829450.063328102
41,31829445.13409232
42,31829441.77182975
43,31829441.612179507
44,31829441.621430136
45,31829441.644442163
46,31829438.895520464
47,31829437.20736375
48,31829437.82219327
49,31829437.784014292
50,31829438.23819079
51,31829438.14595178
52,31829437.85714769
53,31829437.730731335
54,31829439.057164777
55,31829441.62137185
56,31829441.74357693
57,31829447.736732535
58,31829445.263609022
59,31829450.61366799
60,31829548.625143938
61,31830506.459847856
62,31830736.439203896
63,31830786.09675249
64,31830803.15038205
65,31830818.10806214
66,31830826.225737512
67,31830838.44398182
68,31830861.780689545
69,31830879.01664621
70,31830870.13658904
71,31830856.388834238
72,31830847.050190598
73,31830828.83883268
74,31830817.317008324
75,31830747.22169927
76,31830763.953129616
77,31830814.880855072
78,31830838.436767995
79,31830863.93692578
80,31830869.296153672
81,31830850.511932515
82,31830841.326021135
83,31830805.706858296
84,31830818.688690692
85,31830849.758653447
86,31830891.830184598
87,31830896.296507597
88,31830893.495136283
89,31830865.88930172
90,31831168.549911976
