Square_number,Circle_number,Center_x_display,Center_y_display,Diameter_nm
1,1,357,195,114.0
1,2,350,387,57.0
1,3,172,334,76.0
1,4,177,353,76.0
1,5,346,108,76.0
1,6,348,298,95.0
1,7,119,182,38.0
1,8,179,171,57.0
2,9,614,366,114.0
2,10,837,385,133.0
2,11,734,404,95.0
2,12,459,98,76.0
2,13,524,82,76.0
2,14,510,382,76.0
2,15,807,192,76.0
2,16,726,193,57.0
2,17,530,341,76.0
2,18,674,254,57.0
3,19,1096,186,76.0
3,20,903,188,95.0
3,21,897,363,114.0
3,22,1015,355,114.0
3,23,1235,384,95.0
3,24,1085,80,76.0
3,25,986,176,114.0
4,26,356,425,76.0
4,27,365,509,76.0
4,28,165,527,133.0
4,29,111,488,76.0
4,30,248,598,114.0
4,31,241,651,95.0
4,32,369,573,76.0
4,33,409,637,95.0
4,34,356,618,76.0
4,35,316,781,95.0
4,36,267,782,76.0
4,37,180,788,114.0
4,38,165,604,76.0
4,39,327,551,57.0
4,40,94,492,76.0
4,41,76,511,57.0
4,42,42,488,57.0
5,43,477,631,114.0
5,44,668,676,133.0
5,45,433,440,95.0
5,46,450,466,95.0
5,47,634,473,95.0
5,48,707,643,76.0
5,49,813,747,95.0
5,50,570,512,114.0
5,51,615,544,57.0
5,52,618,529,57.0
5,53,601,631,114.0
5,54,469,831,76.0
5,55,624,835,95.0
5,56,715,823,133.0
5,57,467,703,76.0
