Time[s],Y
0,31846252.29833411
1,31846266.676987186
2,31846257.393645853
3,31846255.39233301
4,31846241.188060626
5,31846208.391313218
6,31846230.456207912
7,31846260.873254362
8,31846257.481019218
9,31846233.040249966
10,31846210.056796473
11,31846215.66337135
12,31846235.04978992
13,31846236.336611196
14,31846234.481189504
15,31846244.04656036
16,31846236.95121755
17,31846227.6464495
18,31846234.225699987
19,31846244.20594219
20,31846255.359944668
21,31846260.431349143
22,31846260.425731234
23,31846256.101989724
24,31846256.421696506
25,31846251.933379374
26,31846250.623415284
27,31846246.004552234
28,31846247.916208565
29,31846250.12913237
30,31846217.954639148
31,31846015.338935025
32,31845938.21542084
33,31845919.443307217
34,31845912.99493309
35,31845908.232783586
36,31845904.106524456
37,31845900.408150725
38,31845899.97328861
39,31845897.807120148
40,31845896.26162204
41,31845896.128724877
42,31845895.54737988
43,31845893.468245074
44,31845892.059316576
45,31845893.738362394
46,31845891.016273562
47,31845890.40890513
48,31845889.70329906
49,31845888.50614934
50,31845888.383532654
51,31845887.392449517
52,31845887.496900395
53,31845888.317928802
54,31845888.560187925
55,31845889.603478514
56,31845887.613843184
57,31845886.60804675
58,31845886.46355087
59,31845885.403913036
60,31845908.637676466
61,31846121.510546632
62,31846223.091585025
63,31846245.808873024
64,31846250.196823526
65,31846256.07216111
66,31846258.377958477
67,31846264.57702397
68,31846270.610363483
69,31846265.4998654
70,31846253.95511431
71,31846260.96537697
72,31846268.71914043
73,31846273.53970189
74,31846275.066245887
75,31846277.285767063
76,31846271.686612684
77,31846270.606856175
78,31846267.344209857
79,31846265.448513452
80,31846271.775534105
81,31846279.377610683
82,31846285.186646536
83,31846289.669032436
84,31846291.20174316
85,31846288.08971626
86,31846286.439877786
87,31846286.424812455
88,31846286.75184564
89,31846286.41240662
90,31846246.27106899
