Time[s],Y
0,36.677282064959066
1,36.67741047062321
2,36.678704156166695
3,36.679756887183245
4,36.68059787377004
5,36.68160920750175
6,36.68245038344966
7,36.683048996326264
8,36.683506296077354
9,36.68417250049262
10,36.684803186645254
11,36.68552233971747
12,36.686191191664506
13,36.6869064312988
14,36.68785316355507
15,36.688347573743876
16,36.68904357724358
17,36.68973422213848
18,36.69043769482986
19,36.69112317343219
20,36.691629820695226
21,36.692264500676316
22,36.69274196363808
23,36.69349627634895
24,36.694100108754
25,36.69486549717741
26,36.6954364856342
27,36.69623988993128
28,36.69687680706684
29,36.69760763635995
30,36.69834575625011
31,36.69958703370599
32,36.70125681019402
33,36.70287634377419
34,36.703858682341426
35,36.704869480624744
36,36.705880680058236
37,36.7068011006551
38,36.707594906582536
39,36.70843663557681
40,36.70946358462926
41,36.710338148694014
42,36.71129834623582
43,36.71198099136025
44,36.71275286622164
45,36.71343789038677
46,36.71405727715857
47,36.71465193758973
48,36.715249503829426
49,36.715970590370574
50,36.71650375927468
51,36.717028261559534
52,36.717759692135
53,36.718438914986926
54,36.71917221149047
55,36.71987331371716
56,36.72043393783551
57,36.72099452087255
58,36.72169737277518
59,36.722054199767484
60,36.722682700813195
61,36.72272559710248
62,36.72233156097479
63,36.72225956607396
64,36.72218152372322
65,36.72233219073683
66,36.72270314741586
67,36.72298161335975
68,36.723378822784376
69,36.72386341024274
70,36.724357595072725
71,36.72499549165098
72,36.72538749132296
73,36.726117813385244
74,36.726835710275815
75,36.72752626024817
76,36.72787179285526
77,36.7285737481382
78,36.729157202440575
79,36.73000281770527
80,36.73073225301664
81,36.73134360952769
82,36.73183037409101
83,36.7322499816714
84,36.73296645891619
85,36.733630942917905
86,36.73430074598245
87,36.7350487780493
88,36.735727530633405
89,36.736518451808266
90,36.753261355543714
