Class,N1,N2,N3
1,68.38,71.28,64.95
2,64.49,68.86,63.49
3,73.29,74.73,62.02
4,72.82,59.11,62.55
5,71.35,68.85,74.26
6,67.51,73.79,65.99
7,73.36,69.4,68.47
8,69.46,77.75,65.05
9,80.77,80.24,72.44
10,84.2,78.79,76.84
11,93.99,93.01,85.18
12,97.44,97.44,93.53
13,104.28,109.18,107.25
14,117.55,112.63,104.35
15,128.34,123.4,122.93
16,143.99,137.61,137.65
17,161.12,140.59,145.48
18,183.1,161.13,164.03
19,207.08,187.5,186.05
20,227.66,210.53,205.15
21,258.95,233.05,235.42
22,284.9,264.81,262.85
23,316.72,297.17,293.73
24,363.08,335.26,331.41
25,391,370.41,360.71
26,440.97,411.03,399.86
27,481.54,466.83,437.93
28,529.99,503.07,473.19
29,582.25,552.43,530.41
30,618.49,602.35,564.71
31,674.32,647.38,607.34
32,709.6,694.89,649.88
33,773.97,736.89,692.34
34,817.59,792.6,734.37
35,879.79,854.78,772.6
36,917.48,892.52,822.09
37,975.61,941.48,860.71
38,1022.66,987.38,908.22
39,1072.61,1041.22,956.62
40,1134.16,1091.65,991.33
41,1178.62,1155.16,1040.69
42,1231.5,1193.8,1087.7
43,1291.68,1260.41,1133.66
44,1340.18,1305.89,1176.66
45,1390.99,1353.84,1222.22
46,1447.67,1401.74,1264.84
47,1500.06,1459.89,1315.61
48,1553.85,1514.76,1358.63
49,1605.69,1566.55,1405.61
50,1661.49,1620.85,1454.49
51,1707.95,1670.33,1489.28
52,1758.9,1727.06,1540.66
53,1805.85,1766.24,1579.72
54,1854.61,1809.75,1621.34
55,1909.47,1869.8,1659.56
56,1950.54,1918.78,1698.66
57,1989.71,1956.89,1742.73
58,2038.66,1997.06,1772.08
59,2072.88,2050.44,1816.01
60,2118.36,2088.96,1846.31
61,2145.24,2119.81,1877.62
62,2178.49,2154.54,1905.01
63,2215.24,2196.13,1941.2
64,2243.59,2227,1954.43
65,2279.78,2260.73,1987.68
66,2317.95,2300.38,2017.52
67,2344.35,2318.02,2058.68
68,2365.81,2352.14,2075.8
69,2391.69,2375.07,2098.23
70,2416.65,2406.86,2121.18
71,2431.75,2433.24,2144.69
72,2438.08,2458.17,2156.43
73,2457.68,2478.75,2180.35
74,2492.47,2498.84,2207.77
75,2499.81,2517.83,2224.92
76,2514.9,2529.6,2241.05
77,2537.51,2547.26,2256.66
78,2549.86,2571.77,2285.47
79,2566.08,2595.33,2298.75
80,2570.48,2609.51,2314.48
81,2589.95,2611,2331.68
82,2614.35,2632.01,2354.16
83,2614.32,2642.78,2359.5
84,2608.48,2659.87,2376.12
85,2623.18,2658.42,2385
86,2629.06,2665.78,2388.45
87,2633.47,2669.2,2388.45
88,2643.78,2686.28,2407.55
89,2620.32,2682.84,2412.42
90,2637.43,2681.87,2416.24
91,2641.86,2670.7,2422.01
92,2638.31,2674.1,2414.7
93,2634.82,2670.69,2422.56
94,2625.52,2683.85,2419.7
95,2634.4,2675,2424.6
96,2628.17,2667.65,2427.5
97,2628.62,2676.06,2440.17
98,2649.64,2663.93,2430.02
99,2653.56,2674.19,2448.62
100,2660.47,2686.34,2471.59
101,2677.05,2688.76,2478.41
102,2702.32,2701.95,2491.12
103,2724.47,2717.59,2508.16
104,2755.41,2737.6,2531.23
105,2781.67,2758.29,2562.52
106,2819.92,2782.32,2586.97
107,2848.71,2806.59,2619.79
108,2884.25,2833.61,2642.78
109,2918.66,2867.29,2684.91
110,2960.81,2901.45,2713.15
111,2986.19,2933.3,2736.61
112,3023.86,2959.75,2777.26
113,3046.9,2991.14,2796.39
114,3073.36,3023.88,2823.83
115,3094.8,3040.5,2851.65
116,3114.84,3071.42,2873.66
117,3138.3,3083.59,2886.46
118,3140.83,3103.54,2904.45
119,3156,3121.25,2910.31
120,3156.93,3128.16,2923.16
121,3160.27,3136.36,2941.2
122,3162.83,3139.3,2935.38
123,3158.4,3139.75,2928.91
124,3158.9,3141.76,2941.69
125,3156.49,3144.19,2940.3
126,3138.84,3127.08,2925.45
127,3118.78,3119.76,2910.42
128,3106.11,3103.12,2898.11
129,3086.98,3083.61,2888.81
130,3065.97,3072.77,2874.7
131,3033.21,3046.43,2850.19
132,3011.64,3011.2,2816.49
133,2976.92,2977.84,2791.99
134,2941.64,2940.74,2767.97
135,2912.34,2906.44,2726.41
136,2863.4,2864.38,2683.42
137,2824.28,2814.96,2644.16
138,2759.7,2769.98,2596.83
139,2718.17,2714.18,2541.99
140,2651.63,2653.57,2488.19
141,2587.94,2593.34,2429.47
142,2521.5,2525.87,2367.33
143,2452.42,2448.01,2303.72
144,2379.59,2374.25,2228.42
145,2307.61,2293.92,2157.45
146,2221.57,2219.12,2061.55
147,2123.18,2115.41,1991.63
148,2025.86,2024.85,1901.62
149,1925.07,1931.48,1808.64
150,1828.26,1814.47,1716.2
151,1720.07,1707.46,1598.29
152,1605.15,1600.21,1500.44
153,1475.46,1478.03,1386.92
154,1358.59,1356.05,1264.65
155,1224.02,1220.6,1142.8
156,1093.88,1080.15,1013.2
157,938.31,945.66,876.11
158,794.99,785.67,739.25
159,635.53,633.53,597.76
160,479.43,460.37,439.38
161,248.6,238.26,227.01
162,63.21,66.13,62.72
163,82.6,95.78,89.45
164,98.22,98.24,94.31
165,100.18,96.29,101.16
166,98.24,104.09,100.69
167,100.67,101.16,93.33
168,102.15,101.18,103.12
169,99.23,102.64,99.22
170,94.28,103.59,101.65
171,100.18,106.05,93.33
172,96.76,108.99,101.17
173,101.65,104.61,101.62
174,104.59,108.5,100.68
175,106.54,111.9,96.74
176,105.06,120.72,106.05
177,111.86,117.75,103.55
178,115.79,117.29,112.4
179,112.35,125.09,111.39
180,116.76,129.98,119.21
181,123.12,126.07,116.75
182,132.43,133.91,126.06
183,137.33,142.23,126.56
184,139.29,139.78,128.02
185,140.76,146.15,133.9
186,141.25,155.46,139.29
187,145.17,148.11,141.74
188,156.93,156.44,147.13
189,163.79,168.2,152.52
190,163.3,178.49,145.18
191,177.02,177.51,163.79
192,176.04,198.09,175.55
193,189.27,193.66,176.53
194,193.18,193.65,186.33
195,192.2,201.93,187.29
196,205.86,210.72,193.65
197,215.64,221.98,197.51
198,216.59,226.39,203.38
199,233.74,229.33,203.85
200,242.56,230.31,215.12
201,248.43,258.23,226.39
202,268.99,254.76,233.74
203,275.81,262.63,243.05
204,285.58,274.34,249.41
205,285.56,283.61,253.82
206,303.21,296.84,269.96
207,301.24,305.16,279.2
208,330.15,316.92,289.48
209,340.93,330.64,295.85
210,354.15,334.07,316.92
211,365.85,346.25,318.88
212,373.16,363.35,327.69
213,382.45,370.7,342.36
214,395.15,369.22,360.43
215,408.32,388.33,370.71
216,433.79,392.19,380.5
217,449.47,410.79,376.57
218,450.93,434.29,398.07
219,470.47,438.69,414.23
220,478.27,454.85,434.28
221,493.43,461.68,439.18
222,512.49,483.62,458.29
223,530.11,504.65,466.05
224,545.28,520.82,489.98
225,569.79,538.44,506.1
226,582.57,550.69,515.43
227,607.09,570.29,539.89
228,632.03,592.86,555.57
229,645.28,607.06,580.12
230,664.33,631.48,590.42
231,687.8,652.07,609.03
232,711.26,668.29,642.73
233,742.06,684.94,658.43
234,745.11,714.24,671.73
235,781.85,731.35,687.41
236,795.48,751.89,716.21
237,819.02,763.67,730.42
238,838.15,800.88,754.86
239,866.09,811.67,771.54
240,888.14,830.77,796.47
241,919.31,860.67,812.62
242,932.49,886.66,837.17
243,972.6,913.98,856.3
244,1002.46,931.53,881.77
245,1021.56,957.42,911.99
246,1053.9,987.76,929.55
247,1081.75,1015.19,951.54
248,1116,1059.29,998.52
249,1154.62,1101.33,1023.03
250,1196.14,1128.71,1056.84
251,1231.87,1175.57,1098.42
252,1275.88,1219.15,1137.95
253,1321.36,1269.01,1176.04
254,1354.62,1306.64,1214.75
255,1398.56,1359.99,1253.37
256,1440.15,1394.11,1299.28
257,1487.63,1440.29,1329.56
258,1538.2,1489.79,1374.6
259,1566.04,1536.21,1431
260,1616.93,1578.74,1466.84
261,1664.35,1619.8,1511.25
262,1700.98,1660.51,1548.86
263,1743.04,1704.82,1587.03
264,1788.12,1736.73,1630.13
265,1827.73,1783.72,1670.6
266,1867.93,1816.02,1705.37
267,1915.27,1870.35,1757.36
268,1953.43,1902,1787.09
269,1992.13,1944.17,1835.7
270,2035.15,1992.14,1868.73
271,2086.03,2031.2,1908.98
272,2134.53,2077.75,1957.34
273,2180.89,2116.33,2001.39
274,2225.57,2163.89,2041.02
275,2269.39,2200.06,2081.11
276,2303.74,2233.73,2127.64
277,2339.51,2258.66,2154.59
278,2372.25,2286.25,2184.85
279,2394.19,2298.83,2211.81
280,2411.31,2312.56,2228.86
281,2414.66,2304.7,2237.26
282,2430.43,2311.99,2243.56
283,2425.62,2284.59,2229.37
284,2410.39,2276.85,2215.14
285,2388.82,2240.62,2182.93
286,2363.92,2214.75,2163.89
287,2321.82,2175.06,2125.69
288,2294.44,2131.46,2090.41
289,2255.27,2078.2,2040.01
290,2200.49,2033.76,1995.96
291,2153.98,1982.35,1931.43
292,2104.65,1935.83,1883.01
293,2054.29,1876.63,1822.46
294,1993.08,1823.83,1761.75
295,1937.69,1771.95,1704.36
296,1875.13,1714.2,1648.09
297,1809.63,1654.44,1582.67
298,1752.26,1597.33,1524.34
299,1689.7,1546.45,1469.98
300,1626.66,1494.58,1401.95
301,1572.86,1430.92,1342.89
302,1511.67,1380.11,1283.11
303,1453.88,1325.26,1222.58
304,1394.27,1283.12,1170.72
305,1331.62,1225.04,1118.92
306,1275.31,1178.61,1068.92
307,1216.17,1127.68,1010.67
308,1166.35,1077.68,965.76
309,1111.47,1024.86,916.43
310,1048.93,979.45,866.81
311,997.05,931.03,815.01
312,941.77,870.89,771.98
313,881.57,826.24,724.11
314,819.49,770.04,684.4
315,756.34,708.4,635.45
316,697.17,657.04,582.76
317,630.12,589.97,540.09
318,561.58,531.87,481.83
319,488.76,468.61,429.56
320,423.13,400.19,374.23
321,313.08,296.49,281.25
