Class,N1,N2,N3
203,290.5,269.01,251.86
204,302.71,289.06,279.76
205,315.45,287.07,281.19
206,327.7,301.73,293.43
207,337.01,310.55,305.65
208,348.27,330.64,317.9
209,363.42,331.13,331.62
210,372.2,341.4,335.54
211,386.38,354.08,337
212,397.15,372.66,347.24
213,401.08,375.61,375.61
214,412.82,394.71,385.89
215,429.95,398.63,393.73
216,447.53,417.73,394.19
217,454.37,427.03,410.81
218,473.96,440.23,428.91
219,482.73,468.58,440.65
220,491.04,480.83,451.91
221,508.1,477.39,461.7
222,514.9,501.29,473.4
223,522.73,512.98,497.81
224,544.29,512.46,509.99
225,559.98,534,527.17
226,574.67,532.53,535
227,588.41,553.6,552.16
228,601.13,573.21,581.57
229,624.17,581.55,596.75
230,647.13,599.18,611.96
231,664.77,616.74,633.93
232,677.99,622.13,645.71
233,701.97,633.45,672.65
234,726.38,663.37,683.91
235,744.96,680.02,707.86
236,761.15,685.41,728.36
237,779.25,707.93,749.91
238,803.68,719.56,762.63
239,826.72,739.22,782.66
240,838.06,747.53,803.78
241,863.52,762.68,829.23
242,891.47,796.4,851.83
243,914.94,797.94,875.37
244,941.26,818.56,903.2
245,958.91,852.36,927.1
246,991.2,861.68,940.32
247,1014.68,904.69,964.31
248,1050.46,918.27,1004.92
249,1076.43,952.96,1026.46
250,1108.17,979.91,1064.16
251,1154.12,1023.03,1086.62
252,1187.81,1069.57,1134.05
253,1243.15,1113.43,1172.65
254,1282.71,1143.21,1221.09
255,1311.53,1186.83,1253.86
256,1363.39,1232.75,1292.92
257,1408.83,1265.58,1337
258,1439.74,1309.65,1371.71
259,1483.88,1344.82,1414.3
260,1522.46,1386.98,1450.56
261,1563.59,1420.74,1492.67
262,1603.21,1456.88,1515.13
263,1638.38,1489.14,1563.6
264,1681.41,1519.11,1593.88
265,1718.72,1552.26,1625.17
266,1760.62,1597.81,1668.74
267,1810.2,1632.97,1708.38
268,1847.73,1675.53,1742.03
269,1892.37,1709.91,1778.38
270,1942.26,1744.54,1826.19
271,1986.25,1783.72,1860.6
272,2034.59,1831.11,1920.71
273,2081.65,1860.93,1950.93
274,2127.72,1901.15,1995.99
275,2173.66,1938.27,2044.48
276,2203.5,1959.34,2071.91
277,2235.61,1981.8,2111.97
278,2265.57,1999.95,2138.41
279,2295.44,2010.62,2163.35
280,2314.56,2013.16,2181.44
281,2316.01,2008.32,2197.18
282,2325.23,2000.97,2191.78
283,2312.51,1983.71,2184.92
284,2318.35,1958.8,2180.06
285,2297.44,1927.47,2164.27
286,2270.1,1898.65,2141.75
287,2241.68,1855.18,2118.75
288,2217.66,1815.53,2089
289,2182.92,1769.48,2050.37
290,2140.31,1728.9,2016.16
291,2095.8,1681.93,1975.05
292,2059.66,1637.47,1919.69
293,2017.03,1591.03,1877.7
294,1975.78,1549.42,1848.34
295,1937.72,1505.31,1806.63
296,1883.51,1459.84,1761.68
297,1832.17,1424.16,1714.77
298,1782.17,1385.42,1674.72
299,1742.64,1360.59,1627.22
300,1696.18,1316.01,1577.32
301,1643.31,1288.63,1537.17
302,1595.37,1252.38,1498.06
303,1548.53,1214.16,1447.12
304,1497.59,1180.13,1394.27
305,1436.83,1142.37,1348.31
306,1391.22,1107.13,1294.02
307,1327.8,1072.34,1238.67
308,1261.2,1039.57,1179.41
309,1192.21,992.2,1110.99
310,1128.2,946.66,1052.75
