Square_number,Circle_number,Center_x,Center_y,Diameter_nm
1,39,198,14
2,444,219,10
3,649,285,14
3,691,137,10
3,758,237,12
4,74,359,20
4,98,329,16
5,375,579,12
5,522,402,16
