Time[s],Y
0,31846817.687514078
1,31846816.69923495
2,31846819.263290074
3,31846821.871238735
4,31846816.88527637
5,31846807.72472475
6,31846798.068460476
7,31846802.727255918
8,31846808.698980514
9,31846808.685071968
10,31846813.849549353
11,31846816.711986516
12,31846810.451858874
13,31846808.64456803
14,31846805.846531913
15,31846803.68408452
16,31846806.11241234
17,31846805.10349014
18,31846812.751256675
19,31846819.9497728
20,31846817.003672294
21,31846819.435594812
22,31846817.042777583
23,31846821.750320543
24,31846824.919326805
25,31846827.497560512
26,31846828.926197946
27,31846830.546562865
28,31846833.042460907
29,31846831.31272891
30,31846762.700250767
31,31846476.302031673
32,31846384.20599448
33,31846360.351433124
34,31846351.656523146
35,31846345.749144476
36,31846340.29712808
37,31846335.042663738
38,31846332.29271399
39,31846329.63178835
40,31846329.45839385
41,31846324.213849165
42,31846323.869796157
43,31846322.980992254
44,31846319.577651955
45,31846318.62693317
46,31846316.620626993
47,31846316.050402015
48,31846313.339904048
49,31846315.634947658
50,31846313.201829836
51,31846313.13341456
52,31846313.17157423
53,31846311.653543584
54,31846311.423987515
55,31846310.568807926
56,31846309.5392657
57,31846307.85792919
58,31846307.77756801
59,31846307.67146682
60,31846345.516093027
61,31846633.231776427
62,31846753.090233892
63,31846775.417325757
64,31846778.79318213
65,31846786.476438157
66,31846787.874547776
67,31846792.198348425
68,31846799.38856578
69,31846803.02299637
70,31846802.9365358
71,31846800.567647543
72,31846800.33465406
73,31846803.32629359
74,31846804.31980186
75,31846790.995147087
76,31846799.79561585
77,31846813.74204224
78,31846819.070886277
79,31846819.443304606
80,31846819.39191558
81,31846820.56210756
82,31846821.971884243
83,31846819.39957767
84,31846820.679210093
85,31846822.098605372
86,31846819.294391707
87,31846816.734737787
88,31846821.634017583
89,31846823.581954006
90,31846879.932127714
