Time[s],Y
0,31830996.546604104
1,31830997.40017954
2,31831004.436349366
3,31831009.266026776
4,31830993.343918435
5,31830959.987769116
6,31830926.841743335
7,31830945.13914485
8,31830963.513256073
9,31830965.394529838
10,31830979.451722622
11,31830992.985518
12,31830968.76894746
13,31830962.104870103
14,31830953.703925915
15,31830945.220832713
16,31830955.25147988
17,31830951.91339012
18,31830975.94787619
19,31830998.728953503
20,31830994.812798325
21,31830997.41370511
22,31830989.762082525
23,31831004.341960795
24,31831014.02962692
25,31831032.040592574
26,31831026.457100477
27,31831030.91097205
28,31831040.81250442
29,31831032.80246854
30,31830750.08519779
31,31829797.184385724
32,31829542.116897393
33,31829483.146457236
34,31829459.30855443
35,31829445.890761547
36,31829437.560221404
37,31829426.693701368
38,31829420.3970547
39,31829412.21601471
40,31829411.21530221
41,31829403.743510567
42,31829402.231763825
43,31829393.983249426
44,31829388.576415483
45,31829385.518866986
46,31829383.399181847
47,31829380.361181043
48,31829385.732782803
49,31829376.90364076
50,31829377.036973212
51,31829369.46666283
52,31829372.653812867
53,31829372.593395498
54,31829376.568888772
55,31829368.317801178
56,31829368.304219037
57,31829368.0259602
58,31829363.054898992
59,31829370.13793993
60,31829494.555273052
61,31830552.43862849
62,31830850.42802
63,31830908.206890024
64,31830918.914970744
65,31830936.29422776
66,31830936.9315352
67,31830949.465183143
68,31830970.0262112
69,31830970.87442907
70,31830980.587894786
71,31830964.832211237
72,31830971.172625635
73,31830973.986606173
74,31830978.56037664
75,31830929.154031847
76,31830965.708878282
77,31831008.0456511
78,31831020.463266235
79,31831023.356351912
80,31831016.325795926
81,31831029.186237134
82,31831027.419948712
83,31831021.86761743
84,31831018.442721214
85,31831023.197818205
86,31831014.319342945
87,31831011.92028588
88,31831022.767826166
89,31831027.388224874
90,31831436.5521245
