Time[s],Y
0,31843823.0895591
1,31843815.401466917
2,31843812.336085122
3,31843818.195150066
4,31843826.442074813
5,31843829.82344439
6,31843830.52378001
7,31843825.170169238
8,31843816.512900546
9,31843819.74454714
10,31843827.043723773
11,31843831.182249617
12,31843827.717661977
13,31843826.94578439
14,31843820.850860905
15,31843829.01729205
16,31843834.803051684
17,31843833.16249918
18,31843829.286977578
19,31843826.15538184
20,31843828.449559506
21,31843831.15137404
22,31843831.054874673
23,31843829.410618637
24,31843832.67744985
25,31843834.667600334
26,31843837.480901442
27,31843838.4746114
28,31843839.894426055
29,31843838.17997358
30,31843802.937902883
31,31843614.247616317
32,31843545.498086084
33,31843531.11233131
34,31843524.989723574
35,31843520.955503263
36,31843516.646304373
37,31843515.680735346
38,31843514.193845667
39,31843513.78355627
40,31843512.56840594
41,31843511.44003382
42,31843510.42309643
43,31843508.63818895
44,31843508.825935848
45,31843508.88902637
46,31843505.450544547
47,31843506.137723316
48,31843505.36478673
49,31843505.407134484
50,31843504.49967063
51,31843503.99643034
52,31843503.653882682
53,31843502.037201226
54,31843502.796153016
55,31843502.789079856
56,31843502.7158925
57,31843501.677535456
58,31843500.89468227
59,31843500.270011492
60,31843512.563527457
61,31843688.744982492
62,31843787.211811565
63,31843809.276221704
64,31843811.96788311
65,31843808.62109967
66,31843812.59908955
67,31843819.811005194
68,31843820.821419023
69,31843820.764076546
70,31843823.222738583
71,31843827.044706967
72,31843829.435662728
73,31843827.48023318
74,31843823.07632215
75,31843823.876576886
76,31843828.00792331
77,31843828.02050245
78,31843829.53564946
79,31843832.33990392
80,31843832.981617317
81,31843831.368130762
82,31843832.87483875
83,31843833.451535154
84,31843834.563046385
85,31843833.57077306
86,31843833.707641415
87,31843834.651205182
88,31843830.858308822
89,31843824.27885209
90,31843818.450717986
