Time[s],Y
0,31832678.39490285
1,31832662.372304037
2,31832632.760020055
3,31832594.372867268
4,31832544.825809635
5,31832598.6553193
6,31832662.022690002
7,31832685.771089282
8,31832665.092213064
9,31832668.689350348
10,31832684.184485774
11,31832635.176642146
12,31832630.991462987
13,31832659.96238886
14,31832651.317498643
15,31832698.45637477
16,31832711.567091074
17,31832700.49776686
18,31832669.347306635
19,31832664.40939065
20,31832708.541152887
21,31832734.69232268
22,31832710.813668232
23,31832616.65500294
24,31832577.130073022
25,31832644.752922684
26,31832682.31012979
27,31832718.172068503
28,31832727.276334494
29,31832717.335232295
30,31832510.01409549
31,31831611.208100796
32,31831358.331850614
33,31831301.552214365
34,31831282.489259195
35,31831270.642408747
36,31831268.929885775
37,31831263.711950105
38,31831263.00483694
39,31831253.365108907
40,31831251.174414117
41,31831247.530019615
42,31831247.565937046
43,31831244.003415756
44,31831243.621835306
45,31831243.715597328
46,31831243.715706736
47,31831243.71569005
48,31831243.7156903
49,31831243.715690296
50,31831243.715690296
51,31831243.715690304
52,31831243.715690296
53,31831243.7156903
54,31831243.71569031
55,31831243.715690244
56,31831243.715660382
57,31831243.718655266
58,31831243.6084471
59,31831248.805210445
60,31831356.665335275
61,31832314.573188495
62,31832555.600188
63,31832619.84086146
64,31832639.830353733
65,31832628.067944907
66,31832644.710941836
67,31832670.648926824
68,31832684.527409494
69,31832697.34594146
70,31832700.709055778
71,31832699.474769164
72,31832671.26377599
73,31832660.31563725
74,31832673.498195037
75,31832687.38237105
76,31832705.294398215
77,31832719.6600783
78,31832701.134923104
79,31832692.74137393
80,31832698.664616067
81,31832712.189779125
82,31832693.543537896
83,31832661.306789804
84,31832650.039928295
85,31832671.85631198
86,31832681.18380603
87,31832703.12584834
88,31832720.699690774
89,31832704.09214589
90,31832849.01628995
