Time[s],Y
0,31846537.501810167
1,31846562.097381946
2,31846563.11410454
3,31846561.6498983
4,31846559.23292794
5,31846562.395226378
6,31846568.541153982
7,31846568.948817976
8,31846548.315073892
9,31846535.080061644
10,31846548.065287523
11,31846556.78966674
12,31846561.076408606
13,31846560.25886527
14,31846559.647293963
15,31846551.15051853
16,31846554.249618
17,31846555.745248545
18,31846545.039676525
19,31846552.560412027
20,31846558.196631987
21,31846564.359425995
22,31846567.704153433
23,31846567.439385828
24,31846569.76806849
25,31846558.85214834
26,31846558.76852702
27,31846556.60640572
28,31846563.19932001
29,31846550.846460797
30,31846492.723862037
31,31846222.32342266
32,31846139.650917865
33,31846120.200796455
34,31846113.79176536
35,31846109.439557545
36,31846105.646952968
37,31846103.787340105
38,31846101.431190774
39,31846100.279207505
40,31846098.199038845
41,31846097.982446466
42,31846096.518119827
43,31846096.198758334
44,31846094.838041294
45,31846093.823681377
46,31846094.33831008
47,31846092.57189392
48,31846092.663598772
49,31846091.09778543
50,31846089.350176457
51,31846090.956414964
52,31846089.966657337
53,31846089.94818408
54,31846088.001512855
55,31846088.639739346
56,31846088.635404978
57,31846089.61728779
58,31846089.700722046
59,31846090.106307853
60,31846139.06603817
61,31846447.20820781
62,31846541.00119251
63,31846558.29853546
64,31846564.46764556
65,31846569.520700343
66,31846572.51472133
67,31846575.02226598
68,31846576.397674568
69,31846577.47792891
70,31846577.962252866
71,31846579.99431819
72,31846579.97654552
73,31846579.913192153
74,31846582.322719406
75,31846587.626758758
76,31846587.648787495
77,31846587.717500344
78,31846587.636183016
79,31846586.459541366
80,31846585.84482672
81,31846589.489462573
82,31846587.94682486
83,31846575.268172212
84,31846560.539582595
85,31846566.748726882
86,31846569.739531748
87,31846567.453717057
88,31846581.058504373
89,31846587.64063662
90,31846534.745052755
