F,OR,mean
10,23,26.6
10,40,41.3
10,57,59.5
10,83,110.8
20,23,46.2
20,40,71
20,57,110.4
20,83,144.5
30,23,77.7
30,40,100.6
30,57,111.9
30,83,146.2
40,23,85.4
40,40,104.1
40,57,119
40,83,169.7
